"Page not found.","Pagina niet gevonden."
"You can't send messages more than %1 times an hour.","U kunt niet meer berichten versturen dan %1 keer per uur."
"The link to a friend was sent.","De link is naar een vriend verzonden."
"We found some problems with the data.","Er waren enkele problemen met de gegevens."
"Some emails were not sent.","Sommige e-mails zijn niet verzonden."
"You've met your limit of %1 sends in an hour.","U heeft uw limiet bereikt van %1 verzendingen binnen het uur."
"Please enter a sender name.","Voer de naam van een afzender in."
"Invalid Sender Email","Ongeldig Afzender E-mailadres"
"Please enter a message.","Vul een bericht in."
"Please specify at least one recipient.","Geef ten minste één geadresseerde op."
"Please enter a correct recipient email address.","Voer een juist email adres van de geadresseerde in."
"No more than %1 emails can be sent at a time.","Er kunnen niet meer dan %1 emails worden verzonden per keer."
"Please define a correct product instance.","Definieer een juiste product instantie."
"Invalid Sender Information","Ongeldige informatie afzender"
"Please define the correct sender information.","Geef informatie over de juiste afzender."
"IP Address","IP Adres"
"Cookie (unsafe)","Cookie (Onveilig)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Recipent verwijderen"
"Remove","Verwijder"
"Name","Naam"
"Email","E-mail"
"* Required Fields","* Verplichte velden"
"Sender","Afzender"
"Message","Bericht"
"Invitee","genodigde"
"Maximum %1 email addresses allowed.","Maximum %1 email adressen toegestaan."
"Add Invitee","Genodigde toevoegen"
"Send Email","Verstuur e-mail"
"Back","Terug"
"Welcome, %name","Welkom %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name wenst dit product met u te delen:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","E-mail naar een vriend"
"Email Templates","E-mailsjablonen"
"Enabled","Ingeschakeld"
"Select Email Template","Selecteer e-mail-sjabloon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Allow for Guests","Toestaan voor gasten"
"Max Recipients","Max. geadresseerden"
"Max Products Sent in 1 Hour","Max. producten verzonden in 1 uur"
"Limit Sending By","Beperk verzending door"
