"Page not found.","Az oldal nem található."
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","A link elküldve egy barátnak."
"We found some problems with the data.","Probléma adódott az adatokkal."
"Some emails were not sent.","Néhány email nem lett elküldve."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Kérem adja meg a küldő nevét."
"Invalid Sender Email","Érvénytelen feladó email"
"Please enter a message.","Írjon be egy üzenetet."
"Please specify at least one recipient.","Kérem adjon meg legalább egy címzettet."
"Please enter a correct recipient email address.","Kérem megfelelő címzett email címet adjon meg."
"No more than %1 emails can be sent at a time.","Maximum %1 email küldhető egyszerre."
"Please define a correct product instance.","Kérjük, adjon meg helyes Termék példányt."
"Invalid Sender Information","Érvénytelen küldő információ"
"Please define the correct sender information.","Kérjük, adja meg a feladó helyes adatait."
"IP Address","IP cím"
"Cookie (unsafe)","Süti (nem biztonságos)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Címzett eltávolítása"
"Remove","Eltávolítás"
"Name","Név"
"Email","E-mail"
"* Required Fields","* kitöltése kötelező"
"Sender","Feladó"
"Message","Üzenet"
"Invitee","Meghívott"
"Maximum %1 email addresses allowed.","Maximum %1 email cím engedélyezett."
"Add Invitee","Add Invitee"
"Send Email","E-mail küldése"
"Back","Vissza"
"Welcome, %name","Üdvözlet %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name szeretné megosztani Önnel ezt a terméket:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Email egy barátnak"
"Email Templates","E-mailsablonok"
"Enabled","Engedélyezve"
"Select Email Template","Válasszon email sablont"
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
"Allow for Guests","Engedélyezés vendégeknek"
"Max Recipients","Max címzettek száma"
"Max Products Sent in 1 Hour","Max küldhető termékek 1 órán belül"
"Limit Sending By","Küldő limit"
