"Code","رمز"
"Country","الدولة"
"State","ولاية"
"Zip/Post Code","الرمز البريدي"
"Rate","تقييم"
"Zip/Post is Range","الرمز البريدي"
"Range From","الحدود من"
"Range To","الحدود إلى"
"Tax Zones and Rates","Tax Zones and Rates"
"Import and Export Tax Rates","استيراد وتصدير معدلات الضرائب"
"The tax rate has been imported.","تم استيراد معدل الضريبة."
"Invalid file upload attempt","محاولة رفع ملف غير صحيحة"
"Invalid file upload attempt.","محاولة رفع ملف غير صحيحة."
"Invalid file format.","تنسيق ملف غير صالح."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","استيراد معدلات الضريبة"
"Export Tax Rates","تصدير معدلات الضريبة"
"CSV","CSV ملف"
"Excel XML","Excel XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","استيراد/تصدير معدلات الضريبة"
