"Code","Kode"
"Country","Land"
"State","Fylke"
"Zip/Post Code","Postnummer"
"Rate","Rate"
"Zip/Post is Range","Zip/Post rekkevidde er"
"Range From","Rekkevidde fra"
"Range To","Rekkevidde til"
"Tax Zones and Rates","Skattesoner og priser"
"Import and Export Tax Rates","Importer og eksporter skattesatser"
"The tax rate has been imported.","Skattesatsen er importert."
"Invalid file upload attempt","Ugyldig filopplasting forsøk"
"Invalid file upload attempt.","Ugyldig filopplastingsforsøk."
"Invalid file format.","Ugyldig filformat."
"Country code is invalid: %1","Country code is invalid: %1"
"Import Tax Rates","Importere skattesatser"
"Export Tax Rates","Eksportere skattesatser"
"Please select a file to import!","Please select a file to import!"
"Import/Export Tax Rates","Import/Export Tax Rates"
"CSV","CSV"
"Excel XML","Excel XML"
