"Code","Interne naam"
"Country","Land"
"State","Provincie"
"Zip/Post Code","Postcode"
"Rate","Ratio"
"Zip/Post is Range","Postcodereeks"
"Range From","Van"
"Range To","Tot"
"Tax Zones and Rates","BTW-zones en -tarieven"
"Import and Export Tax Rates","Import & Export BTW Percentages"
"The tax rate has been imported.","Het BTW-percentage is geimporteerd"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Invalid file upload attempt.","Poging Ongeldig bestand te uploaden."
"Invalid file format.","Ongeldig bestandsformaat."
"Country code is invalid: %1","Land code is ongeldig: %1"
"Import Tax Rates","BTW-tarieven Importeren"
"Export Tax Rates","Exporteer BTW-tarieven"
"Please select a file to import!","Please select a file to import!"
"Import/Export Tax Rates","BTW-tarieven in- en exporteren"
"CSV","CSV"
"Excel XML","Excel XML"
