"Code","Código"
"Country","País"
"State","Comunidad Autónoma"
"Zip/Post Code","CP/Código postal"
"Rate","Tasa"
"Zip/Post is Range","Sólo para ciertos códigos postales"
"Range From","Intervalo desde"
"Range To","Intervalo hasta"
"Tax Zones and Rates","Zonas de impuestos y tarifas"
"Import and Export Tax Rates","Importación y exportación de impuestos"
"The tax rate has been imported.","Esta tarifa tributaria ha sido importada."
"Invalid file upload attempt","Intento de subida de un archivo no válido"
"Invalid file upload attempt.","Intento de subida de un archivo no válido."
"Invalid file format.","Formato de archivo inválido."
"One of the countries has invalid code.","Uno de los países tiene un código inválido."
"Import Tax Rates","Importar tasas de impuestos"
"Export Tax Rates","Exportar tasas de impuestos"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Código de país invalido: %1"
"Import/Export Tax Rates","Importar / Exportar las tasas de impuesto"
