"Code","Κωδικός"
"Country","Χώρα"
"State","Κατάσταση"
"Zip/Post Code","Ταχυδρομικός Κώδικας"
"Rate","Ποσοστό"
"Zip/Post is Range","Ταχυδρομικός Κώδικας είναι Εύρος"
"Range From","Κυμαίνονται από"
"Range To","Κυμαίνονται σε"
"Tax Zones and Rates","Ζώνες Φορολόγησης και Συντελεστές"
"Import and Export Tax Rates","Εισαγωγή και Εξαγωγή Συντελεστών ΦΠΑ"
"The tax rate has been imported.","Ο φορολογικός συντελεστής έχει εισαχθεί."
"Invalid file upload attempt","Ανεπιτυχής προσπάθεια αποστολής αρχείου"
"Invalid file upload attempt.","Ανεπιτυχής προσπάθεια αποστολής αρχείου."
"Invalid file format.","Μη έγκυρη μορφή αρχείου."
"Country code is invalid: %1","Ο κωδικός χώρας δεν είναι έγκυρος: %1"
"Import Tax Rates","Εισαγωγή Συντελεστών ΦΠΑ"
"Export Tax Rates","Εξαγωγή Συντελεστών ΦΠΑ"
"Please select a file to import!","Please select a file to import!"
"Import/Export Tax Rates","Εισαγωγή/Εξαγωγή Συντελεστών ΦΠΑ"
"CSV","CSV"
"Excel XML","Excel XML"
