"Code","Kód"
"Country","Ország"
"State","Megye"
"Zip/Post Code","Irányítószám"
"Rate","Rate"
"Zip/Post is Range","Irányítószám tartomány"
"Range From","Tartomány alsó értéke"
"Range To","Tartomány felső értéke"
"Tax Zones and Rates","ÁFA zónák és értékek"
"Import and Export Tax Rates","Import and Export Tax Rates"
"The tax rate has been imported.","The tax rate has been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","Érvénytelen fájlformátum."
"Country code is invalid: %1","Country code is invalid: %1"
"Import Tax Rates","Adókulcsok importálása"
"Export Tax Rates","Export Tax Rates"
"Please select a file to import!","Please select a file to import!"
"Import/Export Tax Rates","Import/Export Tax Rates"
"CSV","CSV"
"Excel XML","Excel XML"
