"Code","コード"
"Country","国"
"State","都道府県"
"Zip/Post Code","郵便番号"
"Rate","レート"
"Zip/Post is Range","郵便番号の範囲"
"Range From","開始"
"Range To","終了"
"Tax Zones and Rates","税範囲とレート"
"Import and Export Tax Rates","税率のインポートとエクスポート"
"The tax rate has been imported.","税率を取り込みました。"
"Invalid file upload attempt","不正なファイルがアップロードされました"
"Invalid file upload attempt.","不正なファイルがアップロードされました."
"Invalid file format.","無効なフォーマット"
"One of the countries has invalid code.","国コードのうちのひとつが不正です。"
"Import Tax Rates","税率のインポート"
"Export Tax Rates","税率のエクスポート"
"CSV","CSVファイル"
"Excel XML","Excel形式XML"
"Country code is invalid: %1","国コードが無効です: %1"
"Import/Export Tax Rates","税率のインポート / エクスポート"
