"Code","Kods"
"Country","Valsts"
"State","Štats"
"Zip/Post Code","Pasta indekss"
"Rate","Likme"
"Zip/Post is Range","Pasta indeksa apgabals"
"Range From","Diapazons no"
"Range To","Diapazons līdz"
"Tax Zones and Rates","Nodokļu zonas un likmes"
"Import and Export Tax Rates","Importēt vai eksportēt nodokļu likmes"
"The tax rate has been imported.","Nodokļu likme tika importēta."
"Invalid file upload attempt","Nepareiza faila augšupielādēšanas mēģinājums"
"Invalid file upload attempt.","Nepareiza faila augšupielādēšanas mēģinājums."
"Invalid file format.","Nepareizs faila formāts."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Importēt nodokļu likmes"
"Export Tax Rates","Eksportēt nodokļu likmes"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Nederīgs valsts kods: %1"
"Import/Export Tax Rates","Importēt vai eksportēt nodokļu likmes"
