"Code","Kood"
"Country","Riik"
"State","State"
"Zip/Post Code","Postiindeks"
"Rate","Hinda"
"Zip/Post is Range","Postiindeks on vahemikus"
"Range From","Range From"
"Range To","Range To"
"Tax Zones and Rates","Maksutsoonid ja määrad"
"Import and Export Tax Rates","Import and Export Tax Rates"
"The tax rate has been imported.","The tax rate has been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","Invalid file format."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Import Tax Rates"
"Export Tax Rates","Export Tax Rates"
"CSV","CSV"
"Excel XML","Exceli XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","Import/Export Tax Rates"
