"Code","Kód"
"Country","Země"
"State","Kraj / region"
"Zip/Post Code","PSČ"
"Rate","Sazba"
"Zip/Post is Range","PSČ je rozsahem"
"Range From","V rozsahu od"
"Range To","V rozsahu do"
"Tax Zones and Rates","Sazby DPH a pásma"
"Import and Export Tax Rates","Import a Export daňových sazeb"
"The tax rate has been imported.","Sazby DPH byly importovány."
"Invalid file upload attempt","Importovaný soubor je neplatný"
"Invalid file upload attempt.","Importovaný soubor je neplatný."
"Invalid file format.","Neplatný formát souboru."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Importovat daňové sazby"
"Export Tax Rates","Exportovat daňové sazby"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","Import / Export daňových sazeb"
