"Code","Mã"
"Country","Quốc gia"
"State","Tỉnh/Thành phố"
"Zip/Post Code","Mã bưu chính"
"Rate","Đánh giá"
"Zip/Post is Range","Số Zip/Post là phạm vi"
"Range From","Nằm trong khoảng từ"
"Range To","Nằm trong khoảng đến"
"Tax Zones and Rates","Khu vực thuế và tỷ giá"
"Import and Export Tax Rates","Thuế suất xuất nhập khẩu"
"The tax rate has been imported.","Thuế suất đã được chuyển nhập."
"Invalid file upload attempt","Cố gắng tải lên tệp không hợp lệ"
"Invalid file upload attempt.","Cố gắng tải lên tệp không hợp lệ."
"Invalid file format.","Định dạng tập tin không hợp lệ."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Nhập thuế suất"
"Export Tax Rates","Xuất thuế suất"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","Thuế suất Xuất nhập khẩu"
