"Code","ಸಂಕೇತ"
"Country","ದೇಶ"
"State","ರಾಜ್ಯ"
"Zip/Post Code","ಪಿನ್ ಕೋಡ್"
"Rate","ದರ"
"Zip/Post is Range","Zip/Post is Range"
"Range From","Range From"
"Range To","Range To"
"Tax Zones and Rates","ತೆರಿಗೆ ವಲಯಗಳು ಮತ್ತು ದರಗಳು"
"Import and Export Tax Rates","ಆಮದು ಮತ್ತು ರಫ್ತು ತೆರಿಗೆ ದರಗಳು"
"The tax rate has been imported.","ತೆರಿಗೆ ದರವನ್ನು ಆಮದುಮಾಡಿಕೊಳ್ಳಲಾಗಿದೆ."
"Invalid file upload attempt","Invalid file upload attempt"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","ಅಸಿಂಧುವಾದ ಕಡತದ ಮಾದರಿ."
"Country code is invalid: %1","Country code is invalid: %1"
"Import Tax Rates","ಆಮದು ತೆರಿಗೆ ದರ"
"Export Tax Rates","ರಫ್ತು ತೆರಿಗೆ ದರ"
"Please select a file to import!","Please select a file to import!"
"Import/Export Tax Rates","ಆಮದು /ರಫ್ತು ತೆರಿಗೆ ದರಗಳು"
"CSV","CSV"
"Excel XML","Excel XML"
