"Country","Nazione"
"Region/State","Provincia"
"Zip/Postal Code","CAP"
"Shipping Price","Prezzo di spedizione"
"Export CSV","Esporta CSV"
"Store Pickup","Ritiro in negozio"
"Weight vs. Destination","Peso vs destinazione"
"Price vs. Destination","Prezzo vs destinazione"
"# of Items vs. Destination","# di elementi vs. destinazione"
"Weight (and above)","Peso (e superiore)"
"Order Subtotal (and above)","Subtotale ordine (e superiore)"
"# of Items (and above)","# di elementi (e superiore)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Nessuno"
"Per Order","Per ordine"
"Per Item","Per articolo"
"Unable to import data","Impossibile importare dati"
"Something went wrong while importing table rates.","Qualcosa è andato storto durante l'importazione della tabella tariffe."
"We couldn't import this file because of these errors: %1","Non è possibile importare questo file a causa di questi errori: %1"
"Requested column ""%1"" cannot be resolved","La colonna richiesta ""%1"" non può essere risolta"
"Column ""%1"" not found","Colonna ""%1"" non trovata"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Correggi %1 ""%2"" nella riga #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicare la riga #%1 (Riga Duplicata #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","No"
"For matching items only","Solo per elementi corrispondenti"
"For shipment with matching items","Per la spedizione con oggetti corrispondenti"
"Field ","Campo "
" is required."," è obbligatorio."
"Flat Rate","Tariffe Flat"
"Enabled","Abilitato"
"Method Name","Nome metodo"
"Price","Prezzo"
"Calculate Handling Fee","Calcola spese di gestione"
"Handling Fee","Spese di gestione"
"Sort Order","Ordinamento"
"Title","Titolo"
"Type","Tipo"
"Ship to Applicable Countries","Spedisci ai paesi applicabili"
"Ship to Specific Countries","Spedisci in paesi specifici"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
"Displayed Error Message","Messaggio di errore visualizzato"
"Table Rates","Tabella tariffe"
"Condition","Condizione"
"Include Virtual Products in Price Calculation","Include i prodotti virtuali nel calcolo dei prezzi"
"Export","Esporta"
"Import","Importa"
"Free Shipping","Spedizione Gratuita"
"Minimum Order Amount","Importo minimo d'ordine"
"-- Please Select --","-- Seleziona --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
