"Country","Valsts"
"Region/State","Reģions/štats"
"Zip/Postal Code","Pasta indekss"
"Shipping Price","Piegādes cena"
"Export CSV","Export CSV"
"Store Pickup","Piegāde veikalā"
"Weight vs. Destination","Svars attiecībā pret piegādes vietu"
"Price vs. Destination","Cena attiecībā pret piegādes vietu"
"# of Items vs. Destination","# produkti attiecībā pret galamērķi"
"Weight (and above)","Svars (un vairāk)"
"Order Subtotal (and above)","Pasūtījuma starpsumma (un vairāk)"
"# of Items (and above)","# produkti (vai vairāk)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Neviens"
"Per Order","Katrā pasūtījumā"
"Per Item","Per Item"
"Unable to import data","Unable to import data"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Column ""%1"" not found","Column ""%1"" not found"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Nē"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Field ","Field "
" is required."," is required."
"Flat Rate","Vienota likme"
"Enabled","Ieslēgts"
"Method Name","Metodes nosaukums"
"Price","Cena"
"Calculate Handling Fee","Kalkulēt pakalpojuma maksu"
"Handling Fee","Pakalpojuma maksa"
"Sort Order","Kārtošanas secība"
"Title","Nosaukums"
"Type","Veids"
"Ship to Applicable Countries","Piegāde uz piejamajām valstīm"
"Ship to Specific Countries","Piegāde uz norādītajām valstīm"
"Show Method if Not Applicable","Rādīt metodi ja nav piemērojama"
"Displayed Error Message","Parādītais kļūdas ziņojums"
"Table Rates","Izmaksas"
"Condition","Nosacījums"
"Include Virtual Products in Price Calculation","Iekļaut virtuālos produktus cenu kalkulācijā"
"Export","Eksportēt"
"Import","Importēt"
"Free Shipping","Bezmaksas piegāde"
"Minimum Order Amount","Minimālā pasūtījuma summa"
"-- Please Select --","-- Lūdzu, izvēlieties --"
