"Country","ದೇಶ"
"Region/State","ರಾಜ್ಯ"
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"Shipping Price","ರವಾನೆ ದರ"
"Export CSV","CSV ರಫ್ತುಮಾಡಿ"
"Store Pickup","Store Pickup"
"Weight vs. Destination","Weight vs. Destination"
"Price vs. Destination","Price vs. Destination"
"# of Items vs. Destination","# of Items vs. Destination"
"Weight (and above)","ತೂಕ (ಮತ್ತು ಮೇಲೆ)"
"Order Subtotal (and above)","Order Subtotal (and above)"
"# of Items (and above)","# of Items (and above)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Per Order","ಪ್ರತಿ ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ"
"Per Item","ಪ್ರತಿ ವಸ್ತುವಿಗೆ"
"Unable to import data","ದತ್ತಾಂಶ ಆಮದುಮಾಡಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಿಲ್ಲ"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Column ""%1"" not found","Column ""%1"" not found"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","ಇಲ್ಲ"
"For matching items only","ಹೊಂದಿಕೆಯಾಗುವ ವಸ್ತುಗಳಿಗೆ ಮಾತ್ರ"
"For shipment with matching items","For shipment with matching items"
"Field ","Field "
" is required."," ಅಗತ್ಯವಿದೆ."
"Flat Rate","Flat Rate"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Method Name","Method Name"
"Price","ದರ"
"Calculate Handling Fee","ನಿರ್ವಹಣಾ ವೆಚ್ಚವನ್ನು ಲೆಕ್ಕಮಾಡಿ"
"Handling Fee","ನಿರ್ವಹಣಾ ವೆಚ್ಚ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Title","ಶೀರ್ಷಿಕೆ"
"Type","ವಿಧ"
"Ship to Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Ship to Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","ದೋಷ ಸಂದೇಶವನ್ನು ಪ್ರದರ್ಶಿಸಿದೆ"
"Table Rates","Table Rates"
"Condition","ನಿಬಂಧನೆ"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","ರಫ್ತು"
"Import","ಆಮದು"
"Free Shipping","ಉಚಿತ ರವಾನೆ"
"Minimum Order Amount","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
