"Country","Land"
"Region/State","Region/Bundesland"
"Zip/Postal Code","PLZ"
"Shipping Price","Gewicht gg. Ziel"
"Export CSV","CSV exportieren"
"Store Pickup","Abholung im Laden"
"Weight vs. Destination","Gewicht vs. Ziel"
"Price vs. Destination","Preis vs. Ziel"
"# of Items vs. Destination","Anzahl der Artikel gg. Ziel"
"Weight (and above)","Gewicht (und höher)"
"Order Subtotal (and above)","Zwischensumme der Bestellung (und höher)"
"# of Items (and above)","# Anzahl der Artikel (und darüber)"
"Please correct Table Rate code type: %1.","Bitte Table Rate Codetyp korrigieren: %1."
"Please correct Table Rate code for type %1: %2.","Bitte Table Rate Code korrigieren für Typ %1: %2."
"None","Keine"
"Per Order","Pro Bestellung"
"Per Item","Pro Stück"
"Unable to import data","Daten konnten nicht importiert werden"
"Something went wrong while importing table rates.","Beim Importieren der tabellenbasierten Versandkosten ging etwas schief."
"We couldn't import this file because of these errors: %1","Die Datei konnte auf Grund folgender Fehler nicht importiert werden: %1"
"Requested column ""%1"" cannot be resolved","Die angefragte Spalte ""%1"" kann nicht aufgelöst werden"
"Column ""%1"" not found","Spalte ""%1"" nicht gefunden"
"Please correct Table Rates format in the Row #%1.","Bitte korrigieren Sie das Table Rates-Format in der Reihe #%1."
"Please correct Country ""%1"" in the Row #%2.","Bitte korrigieren Sie das Land ""%1"" in der Zeile #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Bitte korrigieren Sie das Bundesland ""%1"" in der Zeile #%2."
"Please correct %1 ""%2"" in the Row #%3.","Bitte korrigieren Sie %1 ""%2"" in der Zeile #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Bitte korrigieren Sie die Versandkosten ""%1"" in der Zeile #%2."
"Duplicate Row #%1 (duplicates row #%2)","Doppelte Zeile #%1 (Duplikat der Zeile #%2)"
"Please correct Table Rates File Format.","Bitte Table Rate Dateiformat korrigieren."
"No","Nein"
"For matching items only","Nur für übereinstimmende Artikel"
"For shipment with matching items","Für Versand mit übereinstimmenden Artikeln"
"Field ","Feld "
" is required."," ist erforderlich."
"Flat Rate","Versandkostenpauschale"
"Enabled","Aktiviert"
"Method Name","Name der Versandart"
"Price","Preis"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Handling Fee","Bearbeitungsgebühr"
"Sort Order","Sortierreihenfolge"
"Title","Titel"
"Type","Typ"
"Ship to Applicable Countries","Versand in erlaubte Länder"
"Ship to Specific Countries","Versand zu bestimmten Ländern"
"Show Method if Not Applicable","Versandart zeigen, auch wenn nicht möglich"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Table Rates","Tabellenbasierte Versandkosten"
"Condition","Bedingung"
"Include Virtual Products in Price Calculation","Virtuelle Artikel in Preisberechnung einbeziehen"
"Export","Export"
"Import","Importieren"
"Free Shipping","Versandkostenfrei"
"Minimum Order Amount","Mindestbestellwert"
"-- Please Select --","-- Bitte wählen --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Doppelte Zeile #%1 (Land ""%2"", Bundesland ""%3"", Postleitzahl ""%4"" und Wert ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Leider ist es mit diesem Modul nicht möglich in dieses Land zu senden."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","Das Dateiformat für tabellenbasierte Versandkosten in Zeilennummer ""%1"" ist falsch. Überprüfen Sie das Format und probieren Sie es erneut."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","Das Land ""%1"" in Zeilennummer ""%2"" ist falsch. Überprüfen Sie das Land und versuchen Sie es erneut."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","Die Region oder der Staat ""%1"" in Zeilennummer ""%2"" ist falsch. Überprüfen Sie die Region und versuchen Sie es erneut."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","Der Versandpreis ""%1"" in Zeilennummer ""%2"" ist falsch. Überprüfen Sie den Versandpreis und versuchen Sie es erneut."
"The Table Rates File Format is incorrect. Verify the format and try again.","Das Dateiformat für tabellenbasierte Versandkosten ist falsch. Überprüfen Sie das Format und probieren Sie es erneut."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","Der ""%1"" Codetyp für tabellenbasierte Versandkosten ist nicht korrekt. Überprüfen Sie den Typ und versuchen Sie es erneut."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","Der ""%1: %2"" Codetyp für tabellenbasierte Versandkosten ist nicht korrekt. Überprüfen Sie den Typ und versuchen Sie es erneut."
