"Country","Land"
"Region/State","Kommune"
"Zip/Postal Code","Postnummer"
"Shipping Price","Fraktpris"
"Export CSV","Eksportere CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","Store Pickup"
"Weight vs. Destination","Weight vs. Destination"
"Price vs. Destination","Pris vs destinasjon"
"# of Items vs. Destination","# of Items vs. Destination"
"Weight (and above)","Vekt (og over)"
"Order Subtotal (and above)","Ordredelsum (og over)"
"# of Items (and above)","# av elementer (og over)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","Ingen"
"Per Order","Per bestilling"
"Per Item","Per produkt"
"Unable to import data","Kan ikke importere data"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Column ""%1"" not found","Kolonne ""%1"" ikke funnet"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","Nei"
"For matching items only","Kun for matchede produkter"
"For shipment with matching items","For shipment with matching items"
"Field ","Felt "
" is required."," er påkrevd."
"Flat Rate","Fast pris"
"Enabled","Aktivert"
"Method Name","Metodenavn"
"Price","Pris"
"Calculate Handling Fee","Beregn håndteringsgebyr"
"Handling Fee","Ekspedisjonsgebyr"
"Sort Order","Sorteringsrekkefølge"
"Title","Tittel"
"Type","Type"
"Ship to Applicable Countries","Send til bestemte land"
"Ship to Specific Countries","Send til bestemte land"
"Show Method if Not Applicable","Vis metode hvis ikke gjeldende"
"Displayed Error Message","Vis Feilmelding"
"Table Rates","Table Rates"
"Condition","Betingelse"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","Eksport"
"Import","Importere"
"Free Shipping","Gratis frakt"
"Minimum Order Amount","Minimum Order Amount"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","-Vennligst velg--"
