"Country","Negara"
"Region/State","Wilayah/Negara bagian"
"Zip/Postal Code","Zip/Kode Pos"
"Shipping Price","Harga Pengiriman"
"Export CSV","Ekspor CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","Gerobak Toko"
"Weight vs. Destination","Berkat vs. Tempat tujuan"
"Price vs. Destination","Harga vs. Tempat tujuan"
"# of Items vs. Destination","# dari beberapa item vs. Tempat tujuan"
"Weight (and above)","Berat (dan dan lebih)"
"Order Subtotal (and above)","Subtotal Pesanan (dan lebih)"
"# of Items (and above)","# dari beberapa item (dan lebih)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","Kosong"
"Per Order","Per Pesanan"
"Per Item","Per Item"
"Unable to import data","Tidak dapat mengimpor daga"
"Something went wrong while importing table rates.","Terjadi suatu kesalahan saat mengimpor table rate."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Kolom yang diminta ""%1"" tidak dapat di pecahkan"
"Column ""%1"" not found","Kolom ""%1"" tidak ditemukan"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","Harap perbaiki %1 ""%2"" di baris #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","Baris Duplikat #%1 ( Baris Duplikat #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","Tidak"
"For matching items only","Hanya untuk item yang cocok"
"For shipment with matching items","Untuk pengiriman dengan item yang cocok"
"Field ","Bidang "
" is required."," di perlukan."
"Flat Rate","Tarif rata rata"
"Enabled","Diaktifkan"
"Method Name","Nama metode"
"Price","Harga"
"Calculate Handling Fee","Menghitung biaya penanganan"
"Handling Fee","Biaya penanganan"
"Sort Order","Urutan"
"Title","Judul"
"Type","Jenis"
"Ship to Applicable Countries","Kirim ke Negara yang Berlaku"
"Ship to Specific Countries","Kirim ke Negara Tertentu"
"Show Method if Not Applicable","Tampilkan metode jika tidak diberlakukan"
"Displayed Error Message","Tampilkan pesan kesalahan"
"Table Rates","Tarif Tabel"
"Condition","Kondisi"
"Include Virtual Products in Price Calculation","Termasuk produk virtual dalam Perhitungan Harga"
"Export","Expor"
"Import","Impor"
"Free Shipping","Gratis Pengiriman"
"Minimum Order Amount","Jumlah Pesanan Minimum"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","-- Tolong Pilih --"
