"Country","ארץ"
"Region/State","אזור/מדינה"
"Zip/Postal Code","מיקוד"
"Shipping Price","מחיר משלוח"
"Export CSV","ייצא קובץ CSV"
"Store Pickup","חנות פיק אפ"
"Weight vs. Destination","משקל לעומת יעד"
"Price vs. Destination","מחיר לעומת יעד"
"# of Items vs. Destination","# מהפריטים לעומת היעד"
"Weight (and above)","משקל (ומעלה)"
"Order Subtotal (and above)","סכום כולל משני של הזמנה (ומעלה)"
"# of Items (and above)","# של פריטים (ומעלה)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","ללא"
"Per Order","לכל הזמנה"
"Per Item","לכל פריט"
"Unable to import data","לא ניתן לייבא נתונים"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","איננו יכולים לייבא קובץ זה בגלל שגיאות אלה: %1"
"Requested column ""%1"" cannot be resolved","לא ניתן לפענח את העמודה המבוקשת %1"
"Column ""%1"" not found","עמודה ""%1"" לא נמצאה"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","לא"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Field ","שדה "
" is required."," נדרש."
"Flat Rate","Flat Rate"
"Enabled","פעיל"
"Method Name","Method Name"
"Price","מחיר"
"Calculate Handling Fee","חישוב דמי טיפול"
"Handling Fee","דמי טיפול"
"Sort Order","סדר מיון"
"Title","כותרת"
"Type","סוג"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","הצג שיטה אם אינה ישימה"
"Displayed Error Message","הצגת הודעת שגיאה"
"Table Rates","Table Rates"
"Condition","תנאי"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","ייצוא"
"Import","ייבא"
"Free Shipping","משלוח חינם"
"Minimum Order Amount","כמות מינימלית להזמנה"
"-- Please Select --","-- אנא בחר --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
