"Country","Land"
"Region/State","Region/delstat"
"Zip/Postal Code","Postnummer"
"Shipping Price","Fraktavgift"
"Export CSV","Exportera till CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","Hämta i Butik"
"Weight vs. Destination","Pris kontra Destination"
"Price vs. Destination","Pris kontra Destination"
"# of Items vs. Destination","# av objekt vs. Destination"
"Weight (and above)","Vikt (och över)"
"Order Subtotal (and above)","Beställningens delsumma (och senare)"
"# of Items (and above)","# Objekt (och högre)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","Inga"
"Per Order","Per beställning"
"Per Item","Frakt per vara"
"Unable to import data","Det går inte att importera data"
"Something went wrong while importing table rates.","Något gick fel medan tabellfrakterna importerades."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Begärda kolumnen ""%1"" kan inte hittas"
"Column ""%1"" not found","Kolumnen ""%1"" hittades inte"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","Nej"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Field ","Fält "
" is required."," är obligatoriskt."
"Flat Rate","Flat Rate"
"Enabled","Aktiverad"
"Method Name","Method Name"
"Price","Pris"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Sort Order","Sorteringsordning"
"Title","Titel"
"Type","Typ"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Table Rates","Table Rates"
"Condition","Villkor"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","Export"
"Import","Importera"
"Free Shipping","Free Shipping"
"Minimum Order Amount","Minimum Order Amount"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","--Vänligen välj--"
