"Country","Riik"
"Region/State","Piirkond/maakond"
"Zip/Postal Code","Postiindeks"
"Shipping Price","Shipping Price"
"Export CSV","Ekspordi CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","Store Pickup"
"Weight vs. Destination","Weight vs. Destination"
"Price vs. Destination","Price vs. Destination"
"# of Items vs. Destination","# of Items vs. Destination"
"Weight (and above)","Weight (and above)"
"Order Subtotal (and above)","Order Subtotal (and above)"
"# of Items (and above)","# of Items (and above)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","Puudub"
"Per Order","Per Order"
"Per Item","Per Item"
"Unable to import data","Unable to import data"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Column ""%1"" not found","Column ""%1"" not found"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","Ei"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Field ","Väli "
" is required."," on nõutud."
"Flat Rate","Flat Rate"
"Enabled","Lubatud"
"Method Name","Method Name"
"Price","Hind"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Sort Order","Sorteerimise järjekord"
"Title","Pealkiri"
"Type","Tüüp"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Näita meetodit kui seda ei saa kasutada"
"Displayed Error Message","Displayed Error Message"
"Table Rates","Table Rates"
"Condition","Tingimus"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","Eksport"
"Import","Import"
"Free Shipping","Tasuta transport"
"Minimum Order Amount","Minimaalne Tellimuse Kogus"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","-- Vali --"
