"Country","Maa"
"Region/State","Alue/osavaltio"
"Zip/Postal Code","Postinumero"
"Shipping Price","Toimitushinta"
"Export CSV","Vie CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","Store Pickup"
"Weight vs. Destination","Weight vs. Destination"
"Price vs. Destination","Price vs. Destination"
"# of Items vs. Destination","# of Items vs. Destination"
"Weight (and above)","Paino (ja yli)"
"Order Subtotal (and above)","Tilauksen välisumma (ja yli)"
"# of Items (and above)","# kohteita (ja yli)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","Ei mikään"
"Per Order","Per tilaus"
"Per Item","Per tuote"
"Unable to import data","Unable to import data"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Column ""%1"" not found","Saraketta ""%1"" ei löytynyt"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","Ei"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Field ","Kenttä "
" is required."," on pakollinen."
"Flat Rate","Kiinteähintainen toimitus"
"Enabled","Käytössä"
"Method Name","Method Name"
"Price","Hinta"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Käsittelykulut"
"Sort Order","Lajittelujärjestys"
"Title","Otsikko"
"Type","Tyyppi"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Table Rates","Table Rates"
"Condition","Ehdot"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","Vie"
"Import","Tuo"
"Free Shipping","Ilmainen toimitus"
"Minimum Order Amount","Vähimmäistilausmäärä"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","--- Valitse ---"
