"Country","Pays"
"Region/State","Région/État"
"Zip/Postal Code","Code postal"
"Shipping Price","Tarif de livraison"
"Export CSV","Exporter en CSV"
"Store Pickup","Retrait en magasin"
"Weight vs. Destination","Poids par destination"
"Price vs. Destination","Prix par destination"
"# of Items vs. Destination","Nombre d'articles par destination"
"Weight (and above)","Poids (et au-delà)"
"Order Subtotal (and above)","Sous-total de la commande (et au-delà)"
"# of Items (and above)","Nombre d'articles (et au-delà)"
"Please correct Table Rate code type: %1.","Veuillez corriger le type de code de taux de table : %1."
"Please correct Table Rate code for type %1: %2.","Veuillez corriger le code de taux de table pour le type %1: %2."
"None","Aucun"
"Per Order","Par commande"
"Per Item","Par article"
"Unable to import data","Impossible d'importer les données"
"Something went wrong while importing table rates.","Une erreur s'est produite lors de l'enregistrement de la tarification."
"We couldn't import this file because of these errors: %1","Nous n'avons pas pu importer ce fichier en raison de ces erreurs : %1"
"Requested column ""%1"" cannot be resolved","La colonne demandée ""%1"" ne peut être trouvée"
"Column ""%1"" not found","Colonne ""%1"" non trouvée"
"Please correct Table Rates format in the Row #%1.","Veuillez corriger le format des taux de table dans la ligne #%1."
"Please correct Country ""%1"" in the Row #%2.","Veuillez corriger le pays ""%1"" dans la ligne #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Veuillez corriger la région/État ""%1"" dans la ligne #%2."
"Please correct %1 ""%2"" in the Row #%3.","Veuillez corriger %1 ""%2"" dans la ligne #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Veuillez corriger les frais d'envoi ""%1"" dans la ligne n°%2."
"Duplicate Row #%1 (duplicates row #%2)","Colonne dupliquée #%1 (duplique la ligne #%2)"
"Please correct Table Rates File Format.","Veuillez corriger le format de fichier de la table des taux."
"No","Non"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Field ","Champ "
" is required."," est requis."
"Flat Rate","Tarif unique"
"Enabled","Activé"
"Method Name","Nom de méthode"
"Price","Prix"
"Calculate Handling Fee","Calculer les frais de dossier"
"Handling Fee","Frais de traitement"
"Sort Order","Ordre de tri""Abandoned Carts"
"Title","Titre"
"Type","Type"
"Ship to Applicable Countries","Livrer aux pays applicables"
"Ship to Specific Countries","Livrer aux pays spécifiques"
"Show Method if Not Applicable","Afficher le mode s'il n'est pas applicable"
"Displayed Error Message","Message d'erreur affiché"
"Table Rates","Tarification"
"Condition","Condition"
"Include Virtual Products in Price Calculation","Inclure les produits virtuels dans le calcul de prix"
"Export","Exporter"
"Import","Importer"
"Free Shipping","Livraison gratuite"
"Minimum Order Amount","Montant de commande minimum"
"-- Please Select --","-- Faites un choix --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Ligne en double n°%1 (Pays ""%2"", Région ""%3"", Code postal ""%4"" et valeur ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Désolé, mais nous ne pouvons pas livrer dans le pays de destination avec ce module d'expédition."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","Le format de fichier de la table est incorrect en ligne ""%1"". Vérifiez le format et réessayez."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","Le ""%1"" pays en ligne ""%2"" est incorrect. Vérifiez le pays et réessayez."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","La région ou l'état ""%1"" de la ligne ""%2"" est incorrect. Vérifiez la région ou l'état et réessayez."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","Le prix de livraison ""%1"" en ligne ""%2"" est incorrect. Vérifiez le prix de livraison et réessayez."
"The Table Rates File Format is incorrect. Verify the format and try again.","Le format de fichier de la table est incorrect. Vérifiez le format et réessayez."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","Le type de code ""%1"" pour le taux de table est incorrect. Vérifiez le type et réessayez."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","Le type de code ""%1: %2"" est incorrect pour la tarification. Vérifiez-le et réessayez."
