"Country","Ország"
"Region/State","Régió/állam"
"Zip/Postal Code","Irányítószám"
"Shipping Price","Szállítási költség"
"Export CSV","CSV exportálása"
"Store Pickup","Átvétel a boltban"
"Weight vs. Destination","Tömeg vs. cél"
"Price vs. Destination","Ár vs. cél"
"# of Items vs. Destination","Elemek száma vs. cél"
"Weight (and above)","Súly (és felette)"
"Order Subtotal (and above)","Részösszeg (és felette)"
"# of Items (and above)","Elemek száma (és felette)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Egyik sem"
"Per Order","Rendelésenként"
"Per Item","Termékenként"
"Unable to import data","Nem sikerült importálni az adatokat"
"Something went wrong while importing table rates.","Hiba történt a táblázatértékek importálása közben."
"We couldn't import this file because of these errors: %1","A fájl nem tölthető be az alábbi hibák miatt: %1"
"Requested column ""%1"" cannot be resolved","A kért ""%1"" oszlop nem oldható fel"
"Column ""%1"" not found","""%1"" oszlop nem található"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Kérjük javítsa a %1 ""%2""-t a #%3 sorban."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplikált sor #%1 (duplikálja a #%2 sort)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Nem "
"For matching items only","Csak az egyező elemekre"
"For shipment with matching items","Szállításra egyező elemekkel"
"Field ","Mező "
" is required."," kötelező."
"Flat Rate","Átalány"
"Enabled","Engedélyezve"
"Method Name","Szállítás módja"
"Price","Ár"
"Calculate Handling Fee","Kezelési költség kiszámítása"
"Handling Fee","Kezelési költség"
"Sort Order","Rendezési sorrend"
"Title","Cím"
"Type","Típus"
"Ship to Applicable Countries","Szállítás az alkalmazható országokba"
"Ship to Specific Countries","Szállítás megadott országokba"
"Show Method if Not Applicable","Mód megjelenítése, ha nem alkalmazható"
"Displayed Error Message","Megjelenített hibaüzenet"
"Table Rates","Táblázatértékek"
"Condition","Feltétel"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","Exportálás"
"Import","Importálás"
"Free Shipping","Ingyenes szállítás"
"Minimum Order Amount","Minimális rendelési összeg"
"-- Please Select --","-- Kérem válasszon --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
