"Related Products Rule","Regola prodotti correlati"
"Add Rule","Aggiungi regola"
"Save and Continue Edit","Salva e continua modifica"
"Edit Rule '%1'","Modifica regola '%1'"
"New Rule","Nuova regola"
"Rule Information","Informazioni sulle regole"
"Product Result Conditions (leave blank for matching all products)","Condizioni risultati prodotto (lascia vuoto per far corrispondere con tutti i prodotti)"
"Products to Display","Prodotti da mostrare"
"Product Match Conditions (leave blank for matching all products)","Condizioni corrispondenza prodotto (lascia vuoto per far corrispondere con tutti i prodotti)"
"Products to Match","Prodotti per la corrispondenza"
"General Rule Information","Informazioni regola generale"
"Rule Name","Nome regola"
"Priority","Priorità"
"Status","Stato"
"Active","Attiva"
"Inactive","Inattivo"
"Apply To","Applica a"
"From","Dal"
"To","Al"
"Result Limit","Limite risultato"
"Maximum number of products this rule can apply to (up to 20).","Numero massimo di prodotti questa regola può essere applicata a (fino a 20)."
"Product Rule Information","Informazioni regola prodotto"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","Hai eliminato la regola."
"We can't find a page to delete.","Non è possibile trovare una pagina da eliminare."
"This rule no longer exists.","Questa regola non esiste più."
"New Related Products Rule","Nuova regola prodotti correlati"
"Related Products Rules","Regole prodotti correlati"
"You saved the rule.","La regola è stata salvata."
"We can't save the product rule right now.","Non è possibile salvare la regola prodotto in questo momento."
"Please specify a correct rule.","Specifica una regola corretta."
"Invalid product list type","Tipo elenco prodotto non valido"
"Invalid rotation mode type","Tipo modalità rotazione non valido"
"Conditions Combination","Combinazione di condizioni"
"Type","Tipo"
"Product %1%2%3%4%5%6%7","Prodotto %1%2%3%4%5%6%7"
"Constant Value","Valore costante"
"the Same as Matched Product Categories","lo stesso come le categorie di prodotto corrispondente"
"the Child of the Matched Product Categories","il figlio delle categorie di prodotto corrispondenti"
"Matched Product %1","Prodotto corrispondente %1"
"Target Product ","Prodotto bersaglio "
"Price (percentage)","Prezzo (in percentuale)"
"Product Special","Prodotto speciale"
"equal to","uguale a"
"more","più"
"equals or greater than","è uguale o maggiore di"
"less","meno"
"equals or less than","è uguale o inferiore a"
"Product Price is %1 %2% of Matched Product(s) Price","Prezzo prodotto è %1 %2% del prezzo prodotti corrispondenti"
"Please define a product data object.","Definisci un data object prodotto."
"We can't rebuild the index for an undefined product.","Impossibile ricostruire l'indice per un prodotto indefinito."
"Could not rebuild index for empty products array","Non è possibile ricostruire l'indice per array prodotti vuoto"
"-- Please Select --","-- Seleziona --"
"Related Products","Prodotti correlati"
"Up-sells","Prodotti alternativi"
"Cross-sells","Prodotti consigliati"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","Questo codice attributo non è valido. Usa solo lettere (a-z), numeri (0-9) o underscore (_) e assicurati che il codice inizi con una lettera."
"Product Attributes","Attributi prodotto"
"Both Selected and Rule-Based","Entrambi selezionati e basati su regola"
"Selected Only","Solo selezionati"
"Rule-Based Only","Solo basati su regola"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Valida errore 1"
"Validate error 2","Valida errore 2"
"Attribute Set","Set di attributi"
"Category","Categoria"
"Please choose a condition to add.","Si prega di scegliere una condizione da aggiungere."
"Close","Chiudi"
"Rule-based Settings","Impostazioni basati su regola"
"Rule-based Positions","Posizioni basati su regola"
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"[GLOBAL]","[GLOBALE]"
"Position Behavior","Comportamento posizione"
"Rule-Based Product Relations","Relazioni prodotti basate su regole"
"Maximum Number of Products in Related Products List","Numero massimo di prodotti nella lista dei prodotti correlati"
"Show Related Products","Mostra Prodotti Correlati"
"Rotation Mode for Products in Related Product List","Modalità di rotazione per i prodotti nell'elenco dei prodotti correlati"
"Maximum Number of Products in Cross-Sell Product List","Numero massimo di prodotti nell'elenco dei prodotti consigliati"
"Show Cross-Sell Products","Mostra prodotti consigliati"
"Rotation Mode for Products in Cross-Sell Product List","Modalità di rotazione per i prodotti nell'elenco dei prodotti consigliati"
"Maximum Number of Products in Upsell Product List","Numero massimo di prodotti nell'elenco dei prodotti alternativi"
"Show Upsell Products","Mostra prodotti alternativi"
"Rotation Mode for Products in Upsell Product List","Modalità di rotazione per i prodotti nell'elenco dei prodotti alternativi"
"Target Rule","Target Regola"
"Target Rule Index","Desinazione Regola indice"
"Product/Target Rule","Prodotto/Regola Target"
"Indexed product/rule association","Associazione prodotto/regola indicizzato"
"Target Rule/Product","Regola Target/Prodotto"
"Indexed rule/product association","Associazione regola/prodotto indicizzata"
"ID","ID"
"Rule","Regola"
"Start","Inizia"
"End","Fine"
"Applies To","Si applica a"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Catalog Product List Type needs to be defined. Verify the type and try again."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
