"Related Products Rule","Relaterade produkter regel"
"Add Rule","Lägg till regel"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Edit Rule '%1'","Redigera regel '%1'"
"New Rule","Ny regel"
"Rule Information","Information om regel"
"Product Result Conditions (leave blank for matching all products)","Villkor för produktresultat (Lämna tomt för att matcha alla produkter)"
"Products to Display","Produkter som ska visas"
"Product Match Conditions (leave blank for matching all products)","Produkten Matchar villkor (lämna tomt för att matcha alla produkter)"
"Products to Match","Matchande Produkter"
"General Rule Information","Allmän Information"
"Rule Name","Regelnamn"
"Priority","Prioritet"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Apply To","Gäller"
"From","Från"
"To","Till"
"Result Limit","Resultatgräns"
"Maximum number of products this rule can apply to (up to 20).","Maximalt antal produkter denna regel kan gälla (upp till 20)."
"Product Rule Information","Regel om produktinformation"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","Du tog bort regeln."
"We can't find a page to delete.","Vi kan inte hitta en sida att ta bort."
"This rule no longer exists.","Denna regel finns inte längre."
"New Related Products Rule","Ny Regel för Relaterade Produkter"
"Related Products Rules","Related Products Rules"
"You saved the rule.","You saved the rule."
"We can't save the product rule right now.","We can't save the product rule right now."
"Please specify a correct rule.","Please specify a correct rule."
"Invalid product list type","Invalid product list type"
"Invalid rotation mode type","Invalid rotation mode type"
"Conditions Combination","Villkorskombination"
"Type","Typ"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Konstant värde"
"the Same as Matched Product Categories","the Same as Matched Product Categories"
"the Child of the Matched Product Categories","the Child of the Matched Product Categories"
"Matched Product %1","Matched Product %1"
"Target Product ","Target Product "
"Price (percentage)","Price (percentage)"
"Product Special","Product Special"
"equal to","equal to"
"more","mer"
"equals or greater than","är lika med eller större än"
"less","mindre"
"equals or less than","är lika med eller mindre än"
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Please define a product data object."
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Could not rebuild index for empty products array","Kunde inte återskapa index för tomma produkte"
"-- Please Select --","--Vänligen välj--"
"Related Products","Relaterade produkter"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Product Attributes","Produktattribut"
"Both Selected and Rule-Based","Both Selected and Rule-Based"
"Selected Only","Selected Only"
"Rule-Based Only","Rule-Based Only"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Validate error 1"
"Validate error 2","Validate error 2"
"Attribute Set","Attributgrupp"
"Category","Kategori"
"Please choose a condition to add.","Välj ett villkor för att lägga till."
"Close","Stäng"
"Rule-based Settings","Rule-based Settings"
"Rule-based Positions","Rule-based Positions"
"Use Config Settings","Använd konfigurationsinställningarna"
"[GLOBAL]","[GLOBALT]"
"Position Behavior","Position Behavior"
"Rule-Based Product Relations","Rule-Based Product Relations"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Show Related Products","Show Related Products"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Show Upsell Products","Show Upsell Products"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
"Target Rule","Target Rule"
"Target Rule Index","Target Rule Index"
"Product/Target Rule","Product/Target Rule"
"Indexed product/rule association","Indexed product/rule association"
"Target Rule/Product","Target Rule/Product"
"Indexed rule/product association","Indexed rule/product association"
"ID","ID"
"Rule","Regel"
"Start","Starta"
"End","Slut"
"Applies To","Gäller"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Catalog Product List Type needs to be defined. Verify the type and try again."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
