"Related Products Rule","İlgili Ürünler Kuralı"
"Add Rule","Kural ekle"
"Save and Continue Edit","Kaydet ve Devam Et"
"Edit Rule '%1'","'%1' kuralını düzenle"
"New Rule","Yeni Kural"
"Rule Information","Kural Bilgisi"
"Product Result Conditions (leave blank for matching all products)","Ürün Sonuç Koşulları (tüm ürünleri eşleştirmek için boş bırakın)"
"Products to Display","Gösterilecek ürünler"
"Product Match Conditions (leave blank for matching all products)","Ürün Eşleştirme Koşulları (tüm ürünleri eşleştirmek için boş bırakın)"
"Products to Match","Eşleşecek ürünler"
"General Rule Information","Genel kural bilgisi"
"Rule Name","Kural Adı"
"Priority","Öncelik"
"Status","Durum"
"Active","Aktif"
"Inactive","Pasif"
"Apply To","Uygula"
"From","Baş"
"To","Bit"
"Result Limit","Sonuç limiti"
"Maximum number of products this rule can apply to (up to 20).","Bu kuralın uygulayabileceği maksimum ürün sayısı (en çok 20)."
"Product Rule Information","Ürün kural bilgisi"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","Kuralı sildiniz."
"We can't find a page to delete.","Silmek için bir sayfa bulamadık."
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"New Related Products Rule","Yeni İlgili Ürünler Kuralı"
"Related Products Rules","İlgili ürünlerin kuralları"
"You saved the rule.","Kural kaydedildi."
"We can't save the product rule right now.","Ürün kuralını şu an kaydedemiyoruz."
"Please specify a correct rule.","Lütfen bir kaynak belirtin."
"Invalid product list type","Geçersiz ürün listesi türü"
"Invalid rotation mode type","Geçersiz rotasyon modu türü"
"Conditions Combination","Koşullar listesi"
"Type","Tip"
"Product %1%2%3%4%5%6%7","Ürün %1%2%3%4%5%6%7"
"Constant Value","Sabit değer"
"the Same as Matched Product Categories","eşleşen ürün kategorileri ile aynı"
"the Child of the Matched Product Categories","çocuk eşleşen ürün kategorileri"
"Matched Product %1","Eşleştirilmiş Ürün %1"
"Target Product ","Hedef ürün "
"Price (percentage)","Fiyat (yüzde)"
"Product Special","Ürün Özel"
"equal to","eşittir"
"more","daha fazla"
"equals or greater than","eşit veya büyük"
"less","daha az"
"equals or less than","eşit veya küçük"
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Lütfen bir ürün veri nesnesi tanımlayın."
"We can't rebuild the index for an undefined product.","Dizini tanımlanmamış bir ürün için yeniden oluşturamayız."
"Could not rebuild index for empty products array","Boş ürün dizinleri için dizin yeniden oluşturulamadı"
"-- Please Select --","-- Lütfen Seçiniz --"
"Related Products","İlişkili Ürünler"
"Up-sells","Üst Satışlar"
"Cross-sells","Çapraz Satış"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","Bu özellik kodu geçersiz. Lütfen yalnızca harfleri (a-z), sayıları (0-9) veya alt çizgileri (_) kullanın ve kodun bir harfle başlamasını sağlayın."
"Product Attributes","Ürün Özellikleri"
"Both Selected and Rule-Based","Hem Seçilmiş hem Kurala Dayalı"
"Selected Only","Sadece seçili"
"Rule-Based Only","Yalnızca Kurala Dayalı"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Hatayı doğrulama 1"
"Validate error 2","Hata 2'yi doğrulayın"
"Attribute Set","Özellik Seti"
"Category","Kategori"
"Please choose a condition to add.","Lütfen eklemek için bir koşul seçin."
"Close","Kapat"
"Rule-based Settings","Kural-bazlı Ayarlar"
"Rule-based Positions","Kural-bazlı Pozisyonlar"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"[GLOBAL]","[GENEL]"
"Position Behavior","Konum Davranışı"
"Rule-Based Product Relations","Kural Esaslı Ürün İlişkileri"
"Maximum Number of Products in Related Products List","İlgili Ürünler Listesindeki Maksimum Ürün Sayısı"
"Show Related Products","İlgili Ürünleri Göster"
"Rotation Mode for Products in Related Product List","İlgili Ürün Listesindeki Ürünler İçin Döndürme Modu"
"Maximum Number of Products in Cross-Sell Product List","Çapraz Satış Ürün Listesindeki Maksimum Ürün Sayısı"
"Show Cross-Sell Products","Çapraz Sattı Ürünleri Göster"
"Rotation Mode for Products in Cross-Sell Product List","Çapraz Satış Ürün Listesindeki Ürünler İçin Dönme Modu"
"Maximum Number of Products in Upsell Product List","Satış Sonrası Ürün Listesindeki Maksimum Ürün Sayısı"
"Show Upsell Products","Dikkatli Ürünler"
"Rotation Mode for Products in Upsell Product List","Satış Sonrası Ürün Listesindeki Ürünler İçin Döndürme Modu"
"Target Rule","Hedef kural"
"Target Rule Index","Hedef Kural İndeksi"
"Product/Target Rule","Ürün/Hedef kuralı"
"Indexed product/rule association","Dizinlenmiş ürün/kural ilişkisi"
"Target Rule/Product","Hedef Kural / Ürün"
"Indexed rule/product association","Dizinlenmiş kural/ürün ilişkisi"
"ID","No"
"Rule","Kural"
"Start","Başla"
"End","Bitir"
"Applies To","Şunlara Uygulanır"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Catalog Product List Type needs to be defined. Verify the type and try again."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
