"Related Products Rule","Regra de Produtos Relacionados"
"Add Rule","Adicionar Regra"
"Save and Continue Edit","Gravar e Continuar Edição"
"Edit Rule '%1'","Editar Regra '%1'"
"New Rule","Nova Regra"
"Rule Information","Informação da Regra"
"Product Result Conditions (leave blank for matching all products)","Product Result Conditions (leave blank for matching all products)"
"Products to Display","Produtos para Exibir"
"Product Match Conditions (leave blank for matching all products)","Product Match Conditions (leave blank for matching all products)"
"Products to Match","Products to Match"
"General Rule Information","Informação de Regra Geral"
"Rule Name","Nome da Regra"
"Priority","Prioridade"
"Status","Estado"
"Active","Ativo"
"Inactive","Inativo"
"Apply To","Aplicar a"
"From","De"
"To","Para"
"Result Limit","Result Limit"
"Maximum number of products this rule can apply to (up to 20).","Número máximo de produtos (até 20) a que se pode aplicar esta regra."
"Product Rule Information","Product Rule Information"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","Apagou a regra."
"We can't find a page to delete.","Não conseguimos encontrar uma página para excluir."
"This rule no longer exists.","Esta regra já não existe."
"New Related Products Rule","New Related Products Rule"
"Related Products Rules","Related Products Rules"
"You saved the rule.","Gravou a regra."
"We can't save the product rule right now.","De momento não é possível guardar a regra do produto."
"Please specify a correct rule.","Please specify a correct rule."
"Invalid product list type","Invalid product list type"
"Invalid rotation mode type","Invalid rotation mode type"
"Conditions Combination","Combinação de Condições"
"Type","Tipo"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Constant Value"
"the Same as Matched Product Categories","the Same as Matched Product Categories"
"the Child of the Matched Product Categories","the Child of the Matched Product Categories"
"Matched Product %1","Matched Product %1"
"Target Product ","Produto-alvo "
"Price (percentage)","Preço (percentagem)"
"Product Special","Product Special"
"equal to","equal to"
"more","mais"
"equals or greater than","superior ou igual a"
"less","less"
"equals or less than","inferior ou igual a"
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Please define a product data object."
"We can't rebuild the index for an undefined product.","Nós não podemos recriar o índice para um produto indefinido."
"Could not rebuild index for empty products array","Não é possível reconstruir o índice para uma lista de produtos vazia"
"-- Please Select --","-- Por favor, selecione --"
"Related Products","Produtos Relacionados"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Product Attributes","Atributos de Produto"
"Both Selected and Rule-Based","Both Selected and Rule-Based"
"Selected Only","Selected Only"
"Rule-Based Only","Rule-Based Only"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Erro de validação 1"
"Validate error 2","Erro de validação 2"
"Attribute Set","Conjunto de Atributos"
"Category","Categoria"
"Please choose a condition to add.","Por favor escolha uma condição para adicionar."
"Close","Fechar"
"Rule-based Settings","Rule-based Settings"
"Rule-based Positions","Rule-based Positions"
"Use Config Settings","Usar Definições de Configuração"
"[GLOBAL]","[GLOBAL]"
"Position Behavior","Position Behavior"
"Rule-Based Product Relations","Rule-Based Product Relations"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Show Related Products","Show Related Products"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Show Upsell Products","Show Upsell Products"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
"Target Rule","Target Rule"
"Target Rule Index","Target Rule Index"
"Product/Target Rule","Product/Target Rule"
"Indexed product/rule association","Produto indexado/associação de regra"
"Target Rule/Product","Target Rule/Product"
"Indexed rule/product association","Regra indexada/associação de produto"
"ID","Id."
"Rule","Regra"
"Start","Ínicio"
"End","Fim"
"Applies To","Aplica-se a"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Catalog Product List Type needs to be defined. Verify the type and try again."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
