"Related Products Rule","قوانین مرتبط محصول ها"
"Add Rule","افزودن قانون"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Edit Rule '%1'","ویرایش قانون '%1'"
"New Rule","قانون جدید"
"Rule Information","اطلاعات قانون"
"Product Result Conditions (leave blank for matching all products)","شرایط نتایج محصول (برای مطابقت با تمام محصولات خالی)"
"Products to Display","محصولات برای نمایش"
"Product Match Conditions (leave blank for matching all products)","شرایط مطابقت محصولات (برای مطابقت با تمام محصولات خالی)"
"Products to Match","محصولات مطابقت دارد"
"General Rule Information","اطلاعات عمومی قانون"
"Rule Name","نام قانون"
"Priority","اولویت"
"Status","وضعيت"
"Active","فعال"
"Inactive","غیرفعال"
"Apply To","اعمال برای"
"From","از"
"To","به"
"Result Limit","محدودیت نتیجه"
"Maximum number of products this rule can apply to (up to 20).","حداکثر تعداد محصولات این قانون می تواند به (تا 20) اعمال شود."
"Product Rule Information","اطلاعات قوانین محصول"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","شما قانون را حذف کردید."
"We can't find a page to delete.","ما نمی توانیم یک صفحه برای حذف پیدا کنیم."
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"New Related Products Rule","قانون جدید محصولات مرتبط"
"Related Products Rules","قوانین مربوط به محصولات"
"You saved the rule.","شما این قانون را ذخیره کردید."
"We can't save the product rule right now.","اکنون نمیتوانیم قانون محصول را ذخیره کنیم."
"Please specify a correct rule.","لطفا یک قانون صحیح را مشخص کنید."
"Invalid product list type","نوع فهرست محصول نامعتبر است"
"Invalid rotation mode type","نوع حالت چرخش نامعتبر است"
"Conditions Combination","ترکیب شرط‌ها"
"Type","نوع"
"Product %1%2%3%4%5%6%7","محصول %1%2%3%4%5%6%7"
"Constant Value","مقدار ثابت"
"the Same as Matched Product Categories","همانند دسته بندی های مربوط به محصولات"
"the Child of the Matched Product Categories","  دسته بندی های مرتبط با کودک"
"Matched Product %1","محصول مرتبط %1"
"Target Product ","محصول مورد نظر "
"Price (percentage)","قیمت (درصد)"
"Product Special","محصول ویژه"
"equal to","مساوی است با"
"more","بیشتر"
"equals or greater than","برابر یا بزرگ‌تر از"
"less","کمتر"
"equals or less than","برابر یا کم‌تر از"
"Product Price is %1 %2% of Matched Product(s) Price","قیمت محصول %1 %2 از محصولات همسان (ها) قیمت"
"Please define a product data object.","لطفا هدف داده محصول را تعریف کنید."
"We can't rebuild the index for an undefined product.","ما نمی توانیم شاخص را برای محصول نامشخص بازسازی کنیم."
"Could not rebuild index for empty products array","فهرست برای آرایه خالی محصولات بازسازی نمی شود"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"Related Products","محصولات مرتبط"
"Up-sells","پرفروش‌ها"
"Cross-sells","فروش‌های پیشنهادی"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","این کد ویژگی نامعتبر است لطفا فقط از حروف (a-z)، اعداد (0-9) یا زیرخط (_) استفاده کنید و مطمئن شوید کد شروع به یک حرف می کند."
"Product Attributes","ویژگی‌ های محصول"
"Both Selected and Rule-Based","هر دو انتخاب شده و مبتنی بر قانون"
"Selected Only","فقط انتخاب شده"
"Rule-Based Only","فقط مبتنی بر قانون"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","خطای تایید اعتبار 1"
"Validate error 2","خطای تایید اعتبار 2"
"Attribute Set","مجموعه ویژگی"
"Category","دسته بندی"
"Please choose a condition to add.","لطفا یک شرط برای افزودن انتخاب کنید."
"Close","بستن"
"Rule-based Settings","تنظیمات مبتنی بر قانون"
"Rule-based Positions","موقعیت مبتنی بر قانون"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"[GLOBAL]","[سراسری]"
"Position Behavior","رفتار موقعیت"
"Rule-Based Product Relations","روابط مبتنی بر قانون"
"Maximum Number of Products in Related Products List","حداکثر تعداد محصولات در لیست محصولات مرتبط"
"Show Related Products","نمایش محصولات مرتبط"
"Rotation Mode for Products in Related Product List","حالت چرخش برای محصولات در لیست محصولات مربوطه"
"Maximum Number of Products in Cross-Sell Product List","حداکثر تعداد محصولات در لیست فروش متقابل"
"Show Cross-Sell Products","نمایش محصولات فروش متقابل"
"Rotation Mode for Products in Cross-Sell Product List","حالت چرخش برای محصولات در لیست فروش متقابل"
"Maximum Number of Products in Upsell Product List","حداکثر تعداد محصولات در لیست محصولات Upsell"
"Show Upsell Products","نمایش محصولات Upsell"
"Rotation Mode for Products in Upsell Product List","حالت چرخش برای محصولات در لیست محصولات Upsell"
"Target Rule","هدف قانون"
"Target Rule Index","شاخص قانون هدف"
"Product/Target Rule","محصول/قانون هدف"
"Indexed product/rule association","وابستگی محصول/ قانون فهرست بندی شده"
"Target Rule/Product","هدف قانون/محصول"
"Indexed rule/product association","وابستگی قانون/ محصول فهرست بندی شده"
"ID","شناسه"
"Rule","قانون"
"Start","شروع"
"End","پایان"
"Applies To","اعمال روی"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Catalog Product List Type needs to be defined. Verify the type and try again."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
