"Related Products Rule","Kaidah Produk Terkait"
"Add Rule","Tambahkan Aturan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Edit Rule '%1'","Edit Aturan '%1'"
"New Rule","Aturan baru"
"Rule Information","Informasi Peraturan"
"Product Result Conditions (leave blank for matching all products)","Kondisi Hasil Produk (biarkan kosong untuk mencocokkan semua produk)"
"Products to Display","Produk yang akan ditampilkan"
"Product Match Conditions (leave blank for matching all products)","Kondisi Pencocokan Produk (kosongkan untuk mencocokkan semua produk)"
"Products to Match","Produk disesuaikan"
"General Rule Information","Informasi Aturan Umum"
"Rule Name","Nama aturan"
"Priority","Prioritas"
"Status","Subjek"
"Active","Aktif"
"Inactive","Tidak aktif"
"Apply To","Terapkan Untuk"
"From","Dari"
"To","Ke"
"Result Limit","Batas Hasil"
"Maximum number of products this rule can apply to (up to 20).","Aturan Jumlah Maksimal produk yang dapat diterapkan (Sampai 20)."
"Product Rule Information","Informasi Aturan Produk"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","Anda menghapus aturan."
"We can't find a page to delete.","Kami Tidak Menemukan Laman yang akan dihapus."
"This rule no longer exists.","Aturan ini sudah tidak ada lagi."
"New Related Products Rule","Aturan Baru untuk Produk-produk"
"Related Products Rules","Peraturan Untuk Produk"
"You saved the rule.","Anda menyimpan peraturan."
"We can't save the product rule right now.","Kami tidak dapat menyimpan aturan produk sekarang."
"Please specify a correct rule.","Silakan tentukan aturan yang benar."
"Invalid product list type","Jenis Daftar Produk Tidak Valid"
"Invalid rotation mode type","Jenis Modus Rotasi Tidak Valid"
"Conditions Combination","Ketentuan Kombinasi"
"Type","Jenis"
"Product %1%2%3%4%5%6%7","Produk %1 %2 %3 %4 %5 %6 %7"
"Constant Value","Nilai Konstan"
"the Same as Matched Product Categories","sama seperti Kategori kecocokan produk"
"the Child of the Matched Product Categories","kecocokan Kategori Produk Anak"
"Matched Product %1","Kecocokan Produk %1"
"Target Product ","Produk Target "
"Price (percentage)","Harga (Persentasi)"
"Product Special","Produk Khusus"
"equal to","sama dengan"
"more","lebih"
"equals or greater than","sama atau lebih besar dari"
"less","kurang"
"equals or less than","sama atau kurang dari"
"Product Price is %1 %2% of Matched Product(s) Price","Harga Produk adalah %1 %2 dari Kecocokan Produk"
"Please define a product data object.","Silakan definisikan objek data produk."
"We can't rebuild the index for an undefined product.","Kami tidak dapat membangun kembali indeks untuk produk yang tidak terdefinisi."
"Could not rebuild index for empty products array","Tidak dapat membangun kembali indeks untuk rangkaian produk kosong"
"-- Please Select --","-- Silahkan pilih --"
"Related Products","Produk Terkait"
"Up-sells","Peningkatan Penjualan"
"Cross-sells","Penjualan Silang"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","Kode atribut ini tidak valid Silakan gunakan hanya huruf (a-z), angka (0-9) atau garis bawah (_), dan pastikan kodenya dimulai dengan sebuah huruf."
"Product Attributes","Atribut Produk"
"Both Selected and Rule-Based","Pilih keduanya dan sesuai aturan"
"Selected Only","Hanya dipilih"
"Rule-Based Only","Hanya berbasis aturan"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Validasi kesalahan 1"
"Validate error 2","Validasi kesalahan 2"
"Attribute Set","Set Atribut"
"Category","Kategori"
"Please choose a condition to add.","Silakan pilih kondisi untuk ditambahkan."
"Close","Tutup"
"Rule-based Settings","Pengaturan berbasis aturan"
"Rule-based Positions","Posisi Berbasis Aturan"
"Use Config Settings","Gunakan Pengaturan Konfirmasi"
"[GLOBAL]","[GLOBAL]"
"Position Behavior","Perilaku Posisi"
"Rule-Based Product Relations","Hubungan Produk Berbasis Aturan"
"Maximum Number of Products in Related Products List","Jumlah Produk Maksimum dalam Daftar Produk Terkait"
"Show Related Products","Tampilkan Produk Terkait"
"Rotation Mode for Products in Related Product List","Mode Rotasi untuk Produk dalam Daftar Produk Terkait"
"Maximum Number of Products in Cross-Sell Product List","Jumlah Produk Maksimum dalam Daftar Produk Lintas-Jual"
"Show Cross-Sell Products","Tampilkan Produk Cross-Sell"
"Rotation Mode for Products in Cross-Sell Product List","Mode Rotasi untuk Produk dalam Daftar Produk Lintas-Jual"
"Maximum Number of Products in Upsell Product List","Jumlah Produk Maksimum dalam Daftar Produk Upsell"
"Show Upsell Products","Tampilkan Upsell Products"
"Rotation Mode for Products in Upsell Product List","Mode Rotasi untuk Produk dalam Daftar Produk Upsell"
"Target Rule","Target Rule"
"Target Rule Index","Indeks Aturan Target"
"Product/Target Rule","Product/Target Rule"
"Indexed product/rule association","Indexed product / rule association"
"Target Rule/Product","Target Rule/Product"
"Indexed rule/product association","Aturan indeks/asosiasi produk"
"ID","Id"
"Rule","Aturan"
"Start","Mulai"
"End","Akhir"
"Applies To","Berlaku untuk"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Catalog Product List Type needs to be defined. Verify the type and try again."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
