"Related Products Rule","כלל מוצרים מקושרים"
"Add Rule","הוסף כלל"
"Save and Continue Edit","שמור והמשך בעריכה"
"Edit Rule '%1'","עריכת כלל '%1'"
"New Rule","כלל חדש"
"Rule Information","מידע על הכלל"
"Product Result Conditions (leave blank for matching all products)","Product Result Conditions (leave blank for matching all products)"
"Products to Display","מוצרים להצגה"
"Product Match Conditions (leave blank for matching all products)","תנאי התאמה למוצר (השאר ריק על מנת להתאים את כל המוצרים)"
"Products to Match","מוצרים בהתאמה"
"General Rule Information","מידע כללי על הכלל"
"Rule Name","שם כלל"
"Priority","עדיפות"
"Status","סטטוס"
"Active","פעיל"
"Inactive","לא פעיל"
"Apply To","החל ל"
"From","מ-"
"To","ל-"
"Result Limit","מגבלת תוצאה"
"Maximum number of products this rule can apply to (up to 20).","מספר מקסימלי של מוצרים שכלל זה יכול להכיל (עד 20)."
"Product Rule Information","Product Rule Information"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"You deleted the rule.","מחקת את החוק."
"We can't find a page to delete.","איננו יכולים למצוא עמוד כדי למחיקה."
"This rule no longer exists.","הכלל לא קיים יותר."
"New Related Products Rule","כלל מוצרים מקושרים חדש"
"Related Products Rules","Related Products Rules"
"You saved the rule.","שמרת את הכלל."
"We can't save the product rule right now.","אנחנו לא יכולים לשמור את כלל המוצר ברגע זה."
"Please specify a correct rule.","Please specify a correct rule."
"Invalid product list type","Invalid product list type"
"Invalid rotation mode type","Invalid rotation mode type"
"Conditions Combination","שילוב תנאים"
"Type","סוג"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Constant Value"
"the Same as Matched Product Categories","the Same as Matched Product Categories"
"the Child of the Matched Product Categories","the Child of the Matched Product Categories"
"Matched Product %1","מוצרים תואמים %1"
"Target Product ","Target Product "
"Price (percentage)","Price (percentage)"
"Product Special","Product Special"
"equal to","equal to"
"more","עוד"
"equals or greater than","שווה או גדול מ-"
"less","less"
"equals or less than","שווה או פחות מ-"
"Product Price is %1 %2% of Matched Product(s) Price","מחיר המוצר הוא %1% %2 ממחיר המוצרים התואמים"
"Please define a product data object.","Please define a product data object."
"We can't rebuild the index for an undefined product.","אנחנו לא יכולים לאנדקס מחדש מוצר לא מוגדר."
"Could not rebuild index for empty products array","לא יכול לבנות מחדש אינדקס עבור מערך מוצרים ריק"
"-- Please Select --","-- אנא בחר --"
"Related Products","מוצרים נלווים"
"Up-sells","קידומי מכירות"
"Cross-sells","מוצרים משלימים"
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Product Attributes","תכונות מוצר"
"Both Selected and Rule-Based","Both Selected and Rule-Based"
"Selected Only","Selected Only"
"Rule-Based Only","Rule-Based Only"
"Do not rotate","Do not rotate"
"Shuffle","Shuffle"
"Validate error 1","Validate error 1"
"Validate error 2","Validate error 2"
"Attribute Set","קבוצת תכונות"
"Category","קטגוריה"
"Please choose a condition to add.","יש לבחור בתנאי להוספה."
"Close","סגור"
"Rule-based Settings","Rule-based Settings"
"Rule-based Positions","Rule-based Positions"
"Use Config Settings","השתמש בהגדרות הראשיות"
"[GLOBAL]","[גלובלי]"
"Position Behavior","Position Behavior"
"Rule-Based Product Relations","Rule-Based Product Relations"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Show Related Products","הצג מוצרים נלווים"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Show Cross-Sell Products","הצגת מוצרים מצולבים"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Show Upsell Products","Show Upsell Products"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
"Target Rule","Target Rule"
"Target Rule Index","Target Rule Index"
"Product/Target Rule","Product/Target Rule"
"Indexed product/rule association","הקשר אינדוקס כלל/מוצר"
"Target Rule/Product","Target Rule/Product"
"Indexed rule/product association","התאחדות הכלל אינדקס/מוצר"
"ID","מזהה"
"Rule","כלל"
"Start","התחלה"
"End","סיום"
"Applies To","החל על"
"Target Rule Index.","Target Rule Index."
"The Catalog Product List Type needs to be defined. Verify the type and try again.","The Catalog Product List Type needs to be defined. Verify the type and try again."
"The attribute's model class name is invalid. Verify the name and try again.","The attribute's model class name is invalid. Verify the name and try again."
