"Root","Juuri"
"Watermark File for %1","Vesileimatiedosto %1"
"Position of Watermark for %1","Vesileiman sijainti %1"
"Name in %1","Nimi %1"
"Quantity","Määrä"
"Edit","Muokkaa"
"Are you sure?","Oletko varma?"
"Change Status","Muuta tila"
"Update Attributes","Päivitä attribuutit"
"start typing to search category","aloita kirjoitus hakeaksesi kategoriasta"
"New Category","Uusi kategoria"
"Images (.gif, .jpg, .png)","Kuvat (.gif, .jpg, .png)"
"Add New Images","Lisää uusia kuvia"
"Inc. Tax","Verollinen"
"Does this have a weight?","Onko tällä paino?"
"Product","Tuote"
"Notify Low Stock RSS","Varastosaldohuomautus"
"Low Stock Products","Tuotteet, joilla on alhainen varastosaldo"
"%1 has reached a quantity of %2.","%1 on saavuttanut määrän %2."
"Home","Etusivu"
"Go to Home Page","Siirry etusivulle"
"Subscribe to RSS Feed","Tilaa RSS-syöte"
"Products Comparison List","Tuotteiden vertailulista"
"N/A","Ei tietoa"
"AM","AP"
"PM","IP"
"-- Please Select --","--- Valitse ---"
"New Products from %1","Uudet tuotteet %1"
"New Products","Uudet tuotteet"
"%1 - Special Products","%1 - Erikoistuotteet"
"Click for price","Klikkaa nähdäksesi hinnan"
"Special Expires On: %1","Spesiaali vanhenee: %1"
"Price: %1","Hinta: %1"
"Special Price: %1","Tarjoushinta: %1"
"Special Products","Erikoistuotteet"
"Manage Catalog Categories","Hallitse katalogin kategorioita"
"Manage Categories","Hallitse kategorioita"
"You deleted the category.","Poistit kategorian."
"Something went wrong while trying to delete the category.","Jotain meni pieleen yrittäessäsi poistaa kategoriaa."
"Categories","Kategoriat"
"Category is not available for requested store.","Kategoria ei ole saatavilla pyytämässäsi kaupassa."
"There was a category move error.","Katogorian siirtovirhe."
"You moved the category.","Siirsit kategorian."
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Something went wrong while saving the category.","Tapahtui virhe kategoriaa tallennettaessa."
"You saved the category.","Tallensit kategorian."
"Please select products for attributes update.","Valitse tuotteita atribuuttien päivitykseen."
"Please make sure to define SKU values for all processed products.","Varmista, että määrittelit SKU arvot kaikille prosessoiduille tuotteille."
"Message is added to queue","Message is added to queue"
"Something went wrong while updating the product(s) attributes.","Tapahtui virhe tallennettaessa tuotteen attribuuttia."
"Update attributes for ' . . ' selected products","Update attributes for ' . . ' selected products"
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Unable to add attribute","Ei voi lisätä attribuuttia"
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"Catalog","Katalogi"
"Manage Product Attributes","Hallinnoi tuotteen attribuutteja"
"We can't delete the attribute.","Ominaisuutta ei voida poistaa."
"You deleted the product attribute.","Poistit tuotteen attribuutin."
"We can't find an attribute to delete.","Poistettavaa ominaisuutta ei löydy."
"This attribute no longer exists.","Attribuuttia ei ole enää olemassa."
"This attribute cannot be edited.","Tätä attribuuttia ei voi muokata."
"Edit Product Attribute","Muokkaa tuoteattribuuttia"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"An attribute set named '%1' already exists.","Ominaisuusjoukko nimellä '%1' on jo olemassa."
"Something went wrong while saving the attribute.","Tapahtui virhe tallennettaessa attribuuttia."
"We can't update the attribute.","Ominaisuutta ei voida päivittää."
"You saved the product attribute.","Tuoteattribuutti tallennettiin."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Code (%1) is a reserved key and cannot be used as attribute code.","Code (%1) is a reserved key and cannot be used as attribute code."
"An attribute with this code already exists.","Attribuutti tällä koodilla on jo olemassa."
"An attribute with the same code (%1) already exists.","Attribuutti samalla koodilla (%1) on jo olemassa."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"You duplicated the product.","Tuotteesta luotiin kaksoiskappale."
"This product doesn't exist.","Tätä tuotetta ei ole olemassa."
"Invalid product id. Should be numeric value greater than 0","Virheellinen tuotekoodi. Pitää olla numeerinen ja arvon suurempi, kuin 0"
"Products","Tuotteet"
"A group with the same name already exists.","Ryhmä samalla nimellä on jo olemassa."
"Something went wrong while saving this group.","Jotain meni pieleen tallennettaessa tätä ryhmää."
"A total of %1 record(s) have been deleted.","Yhteensä %1 tietue(tta) poistettu."
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","A total of %1 record(s) haven't been deleted. Please see server logs for more details."
"A total of %1 record(s) have been updated.","Yhteensä %1 tietue(tta) päivitetty."
"Something went wrong while updating the product(s) status.","Jotain meni pieleen päivitettäessa tuotteiden tilaa."
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"You saved the product.","Tuote tallennettiin."
"SKU for product %1 has been changed to %2.","SKU tuotteelle %1 on muutettu %2."
"The image cannot be removed as it has been assigned to the other image role","Kuvaa ei voida poistaa, koska se on liitetty toiseen tuotteeseen tai rooliin"
"The value of attribute(s) ""%1"" must be unique","The value of attribute(s) ""%1"" must be unique"
"New Attribute Set","Uusi attribuuttiryhmä"
"The attribute set has been removed.","Attribuuttiryhmä on poistettu."
"We can't delete this set right now.","We can't delete this set right now."
"New Set","Uusi kokoelma"
"Manage Product Sets","Hallitse tuoteryhmiä"
"Manage Attribute Sets","Hallitse attribuuttiryhmiä"
"This attribute set no longer exists.","Attribuuttiryhmää ei ole enää olemassa."
"You saved the attribute set.","Tallensit attribuuttiryhmän."
"Something went wrong while saving the attribute set.","Tapahtui virhe tallennettaessa attribuuttiryhmää."
"You cleared the comparison list.","Olet tyhjentänyt vertailulistan."
"Something went wrong  clearing the comparison list.","Jotain meni pieleen vertailulistan tyhjennyksessä."
"You removed product %1 from the comparison list.","Poistit tuotteen %1 vertailulistalta."
"1 item","1 tuote"
"%1 items","%1 tuotetta"
"The specified Catalog media URL format is not supported.","The specified Catalog media URL format is not supported."
"Are you sure you want to remove this item from your Compare Products list?","Oletko varma, että haluat poistaa tämän tuotteen vertailusta?"
"Are you sure you want to remove all items from your Compare Products list?","Oletko varma, että haluat poistaa kaikki tuotteet tuotteiden vertailulistalta?"
"Invalid attribute %1","Virheellinen attribuutti %1"
"Grid","Ruudukko"
"List","Luettelo"
"All","Kaikki"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Product is not loaded","Tuotetta ei ole ladattu"
"Selected layout update is not available","Selected layout update is not available"
"Sorry, something went wrong during product attributes update. Please see log for details.","Sorry, something went wrong during product attributes update. Please see log for details."
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Using restricted HTML elements for ""%1"". %2","Using restricted HTML elements for ""%1"". %2"
"Make sure the To Date is later than or the same as the From Date.","Varmista, että viimeinen päivämäärä on myöhempi tai sama kuin alkaen-päivämäärä."
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Something went wrong while getting the image url.","Jotiain meni pieleen haettaessa kuvan Urliä."
"Can't delete root category.","Juurikategoriaa ei voi poistaa."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
