"Root","Sumber"
"Delete","Hapus"
"Save","Menyimpan"
"Use Config Settings","Gunakan Pengaturan Konfirmasi"
"Use All Available Attributes","Gunakan Semua Atribut yang Tersedia"
"ID","Id"
"Name","Nama"
"SKU","SKU"
"Visibility","Visibilitas"
"Status","Subjek"
"Price","Harga"
"Position","Posisi"
"Add Subcategory","Tambahkan Subkategori"
"Add Root Category","Tambahkan Kategori Root"
"Day","Hari"
"Month","Bulan"
"Year","Tahun"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITUS WEB]"
"[STORE VIEW]","[LIHAT TOKO]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Tambahkan Produk"
"label","label"
"Product Attributes","Atribut Produk"
"Add New Attribute","Tambahkan Atribut Baru"
"Cancel","Batal"
"Save Attribute","Simpan Atribut"
"Save in New Attribute Set","Simpan di Set Atribut Baru"
"Enter Name for New Attribute Set","Masukkan Nama untuk Set Atribut Baru"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Delete Attribute","Hapus Atribut"
"Edit Product Attribute ""%1""","Edit Atribut Produk ""%1"""
"New Product Attribute","Atribut Produk Baru"
"Advanced Attribute Properties","Properti Atribut Lanjutan"
"Attribute Code","Kode Atribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ini digunakan secara internal. Pastikan Anda tidak menggunakan spasi atau lebih dari %1 simbol."
"Default Value","Nilai Standar"
"Unique Value","Nilai Unik"
"Unique Value (not shared with other products)","Nilai Unik (tidak dibagikan dengan produk lain)"
"Not shared with other products.","Tidak dibagikan dengan produk lain."
"Input Validation for Store Owner","Validasi Masukan untuk Pemilik Toko"
"Add to Column Options","Tambahkan ke Kolom Pilihan"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar pilihan kolom di produk grid."
"Use in Filter Options","Gunakan di Filter Options"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar opsi filter di kotak produk."
"Store View","Tampilan toko"
"Website","Situs web"
"Global","Global"
"Scope","Cakupan"
"Declare attribute value saving scope.","Deklarasikan atribut nilai penyimpanan jangkauan."
"Storefront Properties","Etalase properti"
"Use in Search","Gunakan di Pencarian"
"Visible in Advanced Search","Terlihat di Penelusuran Lanjutan"
"Comparable on Storefront","Sebanding di etalase"
"Use for Promo Rule Conditions","Gunakan untuk Kondisi Aturan Promo"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Izinkan Tag HTML di etalase"
"Visible on Catalog Pages on Storefront","Terlihat di Halaman Katalog di etalase"
"Used in Product Listing","Digunakan dalam Listing Produk"
"Depends on design theme.","Bergantung pada tema desain."
"Used for Sorting in Product Listing","Digunakan untuk Sortasi dalam Listing Produk"
"Media Image","Gambat media"
"Gallery","Galeri"
"System Properties","Sistem properti"
"No","Tidak"
"Yes","Ya"
"Data Type for Saving in Database","Tipe Data untuk Menyimpan di Database"
"Text","Teks"
"Varchar","Varchar"
"Static","Statis"
"Datetime","Tanggal Waktu"
"Decimal","Desimal"
"Integer","Bilangan bulat"
"Globally Editable","Diedit secara global"
"Attribute Information","Informasi Atribut"
"Properties","Properti"
"Manage Labels","Kelola Label"
"Visible","Terlihat"
"Web Site","Situs web"
"Searchable","Bisa Dicari"
"Comparable","Sebanding"
"Delete Selected Group","Hapus Grup yang Dipilih"
"Add New","Tambah baru"
"Back","Kembali"
"Reset","Set ulang"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Anda akan menghapus semua produk dalam set atribut ini. Apakah Anda yakin ingin melakukan itu?"
"New Set Name","Nama Set Baru"
"Edit Attribute Set '%1'","Edit atribut set '%1'"
"Empty","Kosong"
"Add Attribute","Tambah atribut"
"Add New Group","Tambah grup baru"
"Add Group","Tambah grup"
"Edit Attribute Set Name","Edit nama set atribut"
"For internal use","Untuk penggunaan internal"
"Based On","Berdasarkan"
"Add New Attribute Set","Tambahkan Set Atribut Baru"
"Add Attribute Set","Tambahkan Atribut Set"
"Attribute Sets","Set Atribut"
"Close Window","Tutup jendela"
"New Product","Produk baru"
"Save & Edit","Simpan & Edit"
"Save & New","Simpan & Baru"
"Save & Duplicate","Simpan & Gandakan"
"Save & Close","Simpan & Tutup"
"Attributes","Atribut"
"Change","Perubahan"
"Advanced Inventory","Persedian Lanjutan"
"Websites","Situs web"
"Products Information","Informasi Produk"
"Create Category","Buat Kategori"
"Category Name","Nama Kategori"
"Parent Category","Kategori Induk"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Jika tidak ada kategori induk khusus, harap gunakan kategori induk default. Anda dapat menetapkan ulang kategori kapan saja di <a href=""%1"" target=""_blank""> Produk> Kategori </a>."
"Price Alert Subscriptions","Langganan Peringatan Harga"
"Stock Alert Subscriptions","Langganan Peringatan Harga"
"There are no customers for this alert.","Tidak ada pelanggan untuk lansiran ini."
"First Name","Nama depan"
"Last Name","Nama Belakang"
"Email","E-mail"
"Subscribe Date","Tanggal Berlangganan"
"Last Notified","Pemberitahuan terakhir"
"Send Count","Kirim Hitungan"
"New Attribute","Atribut Baru"
"Type","Jenis"
"Attribute Set","Set Atribut"
"Add New Option","Tambahkan Opsi Baru"
"Import Options","Opsi Impor"
"Use Default","Gunakan bawaan"
"Import","Impor"
"Add New Row","Tambahkan baris baru"
"Delete Row","Hapus Baris"
"Tier Pricing","Tingkat Harga"
"Default Price","Harga standar"
"All Websites","Semua Website"
"ALL GROUPS","SEMUA KELOMPOK"
"Add Price","Tambahkan Harga"
"Default Values","Nilai default"
"Related Products","Produk Terkait"
"Up-sells","Peningkatan Penjualan"
"Cross-sells","Penjualan Silang"
"Size for %1","Ukuran untuk %1"
"Watermark File for %1","Bekas Watermark untuk %1"
"Position of Watermark for %1","Posisi Watermark untuk %1"
"Name in %1","Nama di %1"
"Quantity","Kuantitas"
"Edit","Ubah"
"Are you sure?","Apakah kamu yakin?"
"Change Status","Ubah Status"
"Update Attributes","Perbarui Atribut"
"start typing to search category","mulai mengetik ke kategori pencarian"
"New Category","Kategori baru"
"Images (.gif, .jpg, .png)","Gambar (.gif, .jpg, .png)"
"Add New Images","Tambahkan Gambar Baru"
"Inc. Tax","Pajak Inc"
"Does this have a weight?","Apakah ini memiliki berat?"
"Product","Produk"
"Notify Low Stock RSS","Beritahu stok lemah RSS"
"Low Stock Products","Produk Stok Rendah"
"%1 has reached a quantity of %2.","%1 telah mencapai jumlah %2."
"Home","Rumah"
"Go to Home Page","Buka Halaman Depan"
"Subscribe to RSS Feed","Berlangganan RSS Feed"
"Products Comparison List","Daftar Perbandingan Produk"
"N/A","N / A"
"AM","SAYA"
"PM","SORE"
"-- Please Select --","-- Silahkan pilih --"
"None","Tidak ada"
"New Products from %1","Produk Baru dari %1"
"New Products","Produk baru"
"%1 - Special Products","%1 - Produk Khusus"
"Click for price","Klik untuk harga"
"Special Expires On: %1","Khusus kadarluarsa hidup: %1"
"Price: %1","Harga: %1"
"Special Price: %1","Harga Spesial: %1"
"Special Products","Produk khusus"
"Manage Catalog Categories","Kelola Kategori Katalog"
"Manage Categories","Mengelola Kategori"
"You deleted the category.","Anda menghapus kategori."
"Something went wrong while trying to delete the category.","Ada sesuatu yang salah ketika mencoba untuk menghapus kategori."
"Categories","Kategori"
"Category is not available for requested store.","Kategori tidak tersedia untuk toko yang diminta."
"There was a category move error.","Ada kesalahan pergerakan kategori."
"You moved the category.","Anda pindah kategori."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Anda menyimpan kategori."
"Something went wrong while saving the category.","Ada yang tidak beres saat menyimpan kategori."
"Please select products for attributes update.","Silahkan pilih produk untuk memperbaharui atribut."
"Please make sure to define SKU values for all processed products.","Pastikan untuk menentukan nilai SKU untuk semua produk olahan."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Ada yang tidak beres saat memperbarui atribut produk(s)."
"Unable to add attribute","Tidak dapat menambahkan atribut"
"Please, specify attributes","Please, specify attributes"
"Catalog","Katalog"
"Manage Product Attributes","Kelola Atribut Produk"
"We can't delete the attribute.","Kami tidak dapat menghapus atribut tersebut."
"You deleted the product attribute.","Anda menghapus atribut produk."
"We can't find an attribute to delete.","Kami tidak dapat menemukan atribut yang akan dihapus."
"This attribute no longer exists.","Atribut ini sudah tidak ada lagi."
"This attribute cannot be edited.","Atribut ini tidak dapat diedit."
"Edit Product Attribute","Edit Atribut Produk"
"An attribute set named '%1' already exists.","Kumpulan atribut bernama ' %1 ' sudah ada."
"Something went wrong while saving the attribute.","Ada yang tidak beres saat menyimpan atribut."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Kami tidak dapat memperbarui atribut."
"You saved the product attribute.","Anda menyimpan atribut produk."
"An attribute with this code already exists.","Atribut dengan kode ini sudah ada."
"An attribute with the same code (%1) already exists.","Atribut dengan kode yang sama (%1) sudah ada."
"The value of Admin must be unique.","Nilai Admin Harus Unik."
"The value of Admin scope can't be empty.","Nilai lingkup Admin tidak boleh kosong."
"You duplicated the product.","Anda menduplikasi produk."
"This product doesn't exist.","Produk ini tidak ada."
"Invalid product id. Should be numeric value greater than 0","Produk Id tidak valid. harus bernilai numerik lebih besar dari 0"
"Products","Produk"
"A group with the same name already exists.","Sebuah kelompok dengan nama yang sama sudah ada."
"Something went wrong while saving this group.","Ada yang salah saat menyimpan grup ini."
"A total of %1 record(s) have been deleted.","Total %1 Record telah dihapus."
"A total of %1 record(s) have been updated.","Total %1 catatan telah diperbaharui."
"Something went wrong while updating the product(s) status.","Ada yang tidak beres saat memperbarui status produk(s)."
"Unable to save product","Unable to save product"
"You saved the product.","Anda menyimpan produk."
"SKU for product %1 has been changed to %2.","SKU untuk produk %1 telah diubah menjadi %2."
"The image cannot be removed as it has been assigned to the other image role","Gambar tidak dapat dihapus karena telah ditetapkan ke peran gambar lainnya"
"New Attribute Set","Set Atribut Baru"
"The attribute set has been removed.","Set atribut telah dihapus."
"We can't delete this set right now.","Kami tidak dapat menghapus set ini sekarang juga."
"New Set","Set baru"
"Manage Product Sets","Kelola Produk Set"
"Manage Attribute Sets","Kelola Set Atribut"
"This attribute set no longer exists.","Set Atribut ini sudah tidak ada lagi."
"You saved the attribute set.","Anda menyimpan set atribut."
"Something went wrong while saving the attribute set.","Ada yang tidak beres saat menyimpan set atribut."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","Anda membersihkan daftar perbandingan."
"Something went wrong  clearing the comparison list.","Ada yang salah membersihkan daftar perbandingan."
"You removed product %1 from the comparison list.","Anda menghapus produk %1 dari daftar perbandingan."
"1 item","1 barang"
"%1 items","%1 item"
"Are you sure you want to remove this item from your Compare Products list?","Apakah anda yakin untuk menghapus item ini dari daftar Perbandingan Produk anda?"
"Are you sure you want to remove all items from your Compare Products list?","Apakah anda yakin anda ingin menghapus semua item dari daftar Perbandingan Produk anda?"
"Invalid attribute %1","Atribut%1 tidak valid"
"Grid","Kisi"
"List","Daftar"
"All","Semua"
"Bad controller interface for showing product","Antarmuka pengendali yang buruk untuk menampilkan produk"
"Product is not loaded","Produk tidak dimuat"
"Make sure the To Date is later than or the same as the From Date.","Pastikan To Date lebih dari atau sama dengan From Date."
"Sorry, but we can't find the new parent category you selected.","Maaf, tapi kami tidak dapat menemukan kategori orang tua baru yang Anda pilih."
"Sorry, but we can't find the new category you selected.","Maaf, tapi kami tidak dapat menemukan kategori baru yang Anda pilih."
"We can't move the category because the parent category name matches the child category name.","Kami tidak dapat memindahkan kategori karena nama kategori orang tua cocok dengan nama kategori anak."
"Something went wrong while getting the image url.","Ada yang tidak beres saat mendapatkan url gambar."
"Can't delete root category.","Tidak bisa menghapus kategori root."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Daftar Produk bawaan Sortir tidak tersedia di Daftar Produk yang Tersedia Urutkan Berdasarkan."
"No layout updates","Tidak ada pembaruan tata letak"
"Products only","Produk saja"
"Static block only","Blok statis saja"
"Static block and products","Blok dan produk statis"
"Please select a static block.","Silakan pilih blok statis."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Tidak dapat menyimpan produk ""%1"" dengan posisi %2 ke kategori %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Tidak dapat menyimpan produk ""%produk"" dengan %posisi posisi ke kategori %categori"
"Operation do not allow to move a parent category to any of children category","Operasi tidak memungkinkan untuk memindahkan kategori induk ke kategori anak-anak"
