"Root","Hoofd (root)"
"Delete","Verwijder"
"Save","Opslaan"
"Use Config Settings","Gebruik configuratiewaarden"
"Use All Available Attributes","Gebruik alle beschikbare attributen"
"ID","ID"
"Name","Naam"
"SKU","Art.nr."
"Visibility","Zichtbaarheid"
"Status","status"
"Price","prijs"
"Position","Positie"
"Add Subcategory","Subcategorie toevoegen"
"Add Root Category","Hoofd-categorie toevoegen"
"Day","Dag"
"Month","Maand"
"Year","Jaar"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>van</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>tot</span></label>"
"[GLOBAL]","[GLOBAAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[WINKELAANZICHT]"
"WYSIWYG Editor","WYSIWYG editor"
"Add Product","Product toevoegen"
"label","label"
"Product Attributes","Productkenmerken"
"Add New Attribute","Voeg nieuw attribuut toe"
"Cancel","Annuleer"
"Save Attribute","Attribuut Opslaan"
"Save in New Attribute Set","Opslaan in nieuwe attribuutset"
"Enter Name for New Attribute Set","Voer naam in voor nieuwe attribuutset"
"Save and Continue Edit","Toepassen"
"Delete Attribute","Verwijder attribuut"
"Edit Product Attribute ""%1""","Bewerk productattribuut ""%1"""
"New Product Attribute","Nieuw product-attribuut"
"Advanced Attribute Properties","Geavanceerde attribuut eigenschappen"
"Attribute Code","Attribuutcode"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dit wordt intern gebruikt. Zorg ervoor dat je geen spaties of meer dan %1 symbolen gebruikt."
"Default Value","Standaardwaarde"
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (wordt niet gedeeld met andere producten)"
"Not shared with other products.","Niet gedeeld met andere producten."
"Input Validation for Store Owner","Invoervalidatie voor winkeleigenaar"
"Add to Column Options","Toevoegen aan kolomopties"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selecteer ""Ja"" om dit attribuut toe te voegen aan de lijst van kolomopties in de productentabel."
"Use in Filter Options","Gebruik bij filteropties"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selecteer ""Ja"" om dit attribuut aan de lijst van filteropties in de productentabel toe te voegen."
"Store View","Winkelaanzicht"
"Website","Website"
"Global","Systeem"
"Scope","Bereik"
"Declare attribute value saving scope.","Attribuutwaarde opgeven voor opslaan van scope."
"Storefront Properties","Eigenschappen winkelaanzicht"
"Use in Search","Gebruik bij zoeken"
"Visible in Advanced Search","Zichtbaar in geavanceerd zoeken"
"Comparable on Storefront","Vergelijkbaar in Winkeletalage"
"Use for Promo Rule Conditions","Gebruik voor promotieregels"
"Enable WYSIWYG","WYSIWYG activeren"
"Allow HTML Tags on Storefront","Sta HTML tags toe in Winkeletalage"
"Visible on Catalog Pages on Storefront","Zichtbaar op Cataloguspagina's in Winkeletalage"
"Used in Product Listing","Te gebruiken in categorieën"
"Depends on design theme.","Afhankelijk van design template."
