"Root","Peamine"
"Delete","Kustuta"
"Save","Salvesta"
"Use Config Settings","Kasuta üldseadeid"
"Use All Available Attributes","Kasutada kõik saadaolevaid atribuute"
"ID","ID"
"Name","Nimi"
"SKU","Laokood"
"Visibility","Nähtavus"
"Status","Staatus"
"Price","Hind"
"Position","Asukoht"
"Add Subcategory","Lisa alamkategooria"
"Add Root Category","Lisa juurkategooria"
"Day","Päev"
"Month","Kuu"
"Year","Aasta"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAALNE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[POEVAADE]"
"WYSIWYG Editor","WYSIWYG redaktor"
"Add Product","Lisa toode"
"label","silt"
"Product Attributes","Tooteatribuudid"
"Add New Attribute","Lisa uus atribuut"
"Cancel","Tühista"
"Save Attribute","Salvesta atribuut"
"Save in New Attribute Set","Salvesta uude atribuudikogumisse"
"Enter Name for New Attribute Set","Sisestage uue atribuudi kogumi nimi"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Delete Attribute","Kustuta atribuut"
"Edit Product Attribute ""%1""","Muuda tooteatribuuti ""%1"""
"New Product Attribute","Uus tooteatribuut"
"Advanced Attribute Properties","Täiustatud atribuudi sätted"
"Attribute Code","Atribuudikood"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Seda kasutatakse siseselt. Veenduge, et te ei kasuta tühikuid või rohkem kui %1 sümbolit."
"Default Value","Vaikeväärtus"
"Unique Value","Unikaalne väärtus"
"Unique Value (not shared with other products)","Unikaalne väärtus (ei jagata teiste toodetega)"
"Not shared with other products.","Ei jagata teiste toodetega."
"Input Validation for Store Owner","Sisendi kontroll poe omanikule"
"Add to Column Options","Veergu lisamise valikud"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Valige ""Jah"" atribuudi lisamiseks loendisse veerg Valikud toote ruudustiku."
"Use in Filter Options","Kasuta filtrites"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Select ""Yes"" to add this attribute to the list of filter options in the product grid."
"Store View","Poevaade"
"Website","Koduleht"
"Global","Globaalne"
"Scope","Skoop"
"Declare attribute value saving scope.","Declare attribute value saving scope."
"Storefront Properties","Poevaate seaded"
"Use in Search","Kasuta otsingus"
"Visible in Advanced Search","Nähtav täpsemas otsingus"
"Comparable on Storefront","Poes võrreldav"
"Use for Promo Rule Conditions","Kasuta hinnareeeglites"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Luba poevaates HTML märgendeid"
"Visible on Catalog Pages on Storefront","Visible on Catalog Pages on Storefront"
