"Europe First Priority","ヨーロッパ速達"
"1 Day Freight","翌日配達"
"2 Day Freight","2営業日配達"
"2 Day","2 営業日"
"2 Day AM","2 営業日午前"
"3 Day Freight","3営業日配達"
"Express Saver","エコノミーエクスプレス便"
"Ground","陸送"
"First Overnight","翌日早朝配達"
"Home Delivery","自宅配達"
"International Economy","国際船便"
"Intl Economy Freight","船便"
"International First","国際速達"
"International Ground","国際陸送"
"International Priority","国際優先便"
"Intl Priority Freight","国際速達航空便"
"Priority Overnight","翌日午前配達"
"Smart Post","スマートポスト"
"Standard Overnight","標準の翌日配達"
"Freight","配送"
"National Freight","国際配送"
"Regular Pickup","標準収集サービス"
"Request Courier","希望配送業者"
"Drop Box","収荷ボックス"
"Business Service Center","ビジネスサービスセンター"
"Station","ステーション"
"FedEx Envelope","FedEx エンベロップ"
"FedEx Pak","FedEx パック"
"FedEx Box","FedEx ボックス"
"FedEx Tube","FedEx チューブ"
"FedEx 10kg Box","FedEx 10kgボックス"
"FedEx 25kg Box","FedEx 25kgボックス"
"Your Packaging","包装"
"Not Required","必須ではない"
"Adult","成人"
"Direct","ダイレクト"
"Indirect","非ダイレクト"
"Pounds","ポンド"
"Kilograms","キログラム"
"Invalid response from carrier","キャリアからの応答が無効です"
"No available tracking items","利用可能なトラッキング項目がありません"
"For some reason we can't retrieve tracking info right now.","何らかの理由で現在配送情報を取り出すことができません。"
"status","ステータス"
"Empty response","空の返信"
"None","なし"
"Field ","フィールド "
" is required."," は必須です。"
"FedEx","FeedEx"
"Enabled for Checkout","有効"
"Title","タイトル"
"Account ID","アカウントID"
"Please make sure to use only digits here. No dashes are allowed.","数字のみで入力してください。ハイフンは使用できません。"
"Meter Number","メートル番号"
"Key","キー"
"Password","パスワード"
"Sandbox Mode","保護モード"
"Web-Services URL (Production)","ウェブサービス URL (開発)"
"Web-Services URL (Sandbox)","ウェブサービス URL (サンドボックス)"
"Packages Request Type","パッケージリクエストタイプ"
"Packaging","包装"
"Dropoff","収荷場所"
"Weight Unit","単位(重量)"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大積載重量(配送業者にお問い合わせください)"
"Calculate Handling Fee","手数料を計算"
"Handling Applied","手数料適用済み"
"Handling Fee","手数料"
"Residential Delivery","宅配"
"Allowed Methods","許可する配送方法"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","スマートポストメソッドが選ばれればフィールドは適用可能です"
"Free Method","フリーメソッド"
"Enable Free Shipping Threshold","送料無料のしきい値を有効にする"
"Free Shipping Amount Threshold","送料無料額限界値"
"Displayed Error Message","エラーメッセージ表示"
"Ship to Applicable Countries","利用可能な国にのみ配送する"
"Ship to Specific Countries","特定の国にのみ配送する"
"Debug","デバッグ"
"Show Method if Not Applicable","配送方法が利用できない場合でも表示する"
"Sort Order","表示順"
"Expected Delivery:","配送予定日:"
