"Europe First Priority","עדיפות ראשונה באירופה"
"1 Day Freight","1 יום הובלה"
"2 Day Freight","2 ימי הובלה"
"2 Day","2 ימים"
"2 Day AM","2 ימים AM"
"3 Day Freight","3 ימי הובלה"
"Express Saver","שומר אקספרס"
"Ground","בסיס"
"First Overnight","הראשון בין לילה"
"Home Delivery","משלוח הביתה"
"International Economy","כלכלה בינלאומית"
"Intl Economy Freight","חברת שילוח בינלאומית"
"International First","בינלאומי קודם"
"International Ground","בינלאומי קרקעי"
"International Priority","עדיפות בינלאומית"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","עדיפות בין לילה"
"Smart Post","דואר חכם"
"Standard Overnight","Standard Overnight"
"Freight","Freight"
"National Freight","National Freight"
"Regular Pickup","איסוף רגיל"
"Request Courier","Request Courier"
"Drop Box","Drop Box"
"Business Service Center","מרכז שירות עסקי"
"Station","Station"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Your Packaging"
"Not Required","לא נדרש"
"Adult","מבוגר"
"Direct","ישיר"
"Indirect","Indirect"
"Pounds","פאונד"
"Kilograms","קילוגרמים"
"Invalid response from carrier","Invalid response from carrier"
"No available tracking items","No available tracking items"
"For some reason we can't retrieve tracking info right now.","מסיבה כלשהי אנחנו אין אפשרות לשחזר את מספר החבילה עכשיו."
"status","מצב"
"Empty response","תגובה ריקה"
"None","ללא"
"Field ","שדה "
" is required."," נדרש."
"FedEx","FedEx"
"Enabled for Checkout","מופעל במשך לקופה"
"Title","כותרת"
"Account ID","Account ID"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Meter Number","Meter Number"
"Key","מפתח"
"Password","סיסמה"
"Sandbox Mode","מודול Sandbox"
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
"Packaging","Packaging"
"Dropoff","Dropoff"
"Weight Unit","יחידת משקל"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Calculate Handling Fee","חישוב דמי טיפול"
"Handling Applied","הטיפול מיושם"
"Handling Fee","דמי טיפול"
"Residential Delivery","Residential Delivery"
"Allowed Methods","שיטות מותרות"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"Free Method","Free Method"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Displayed Error Message","הצגת הודעת שגיאה"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Debug","דיבאג"
"Show Method if Not Applicable","הצג שיטה אם אינה ישימה"
"Sort Order","סדר מיון"
"Expected Delivery:","Expected Delivery:"
