"Europe First Priority","Prioritaire Europe"
"1 Day Freight","Frêt 1 jour"
"2 Day Freight","Frêt 2 jours"
"2 Day","2 jours"
"2 Day AM","J+2 matin"
"3 Day Freight","Frêt 3 jours"
"Express Saver","Express économe"
"Ground","Sol"
"First Overnight","Lendemain"
"Home Delivery","Livraison à domicile"
"International Economy","International éco"
"Intl Economy Freight","Frêt éco international"
"International First","Premier international"
"International Ground","Sol international"
"International Priority","Priorité internationale"
"Intl Priority Freight","Frêt prioritaire international"
"Priority Overnight","Lendemain (prioritaire)"
"Smart Post","Smart Post"
"Standard Overnight","Standard Overnight"
"Freight","Fret"
"National Freight","Fret National"
"Regular Pickup","Ramassage régulier"
"Request Courier","Demander un coursier"
"Drop Box","Boîte de dépôt"
"Business Service Center","Centre de service d'affaires"
"Station","Gare"
"FedEx Envelope","Enveloppe FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Box","Boîte FedEx"
"FedEx Tube","Tube FedEx"
"FedEx 10kg Box","Boîte 10kg FedEx"
"FedEx 25kg Box","Boîte 25kg FedEx"
"Your Packaging","Votre paquet"
"Not Required","Non requis"
"Adult","Adulte"
"Direct","Directe"
"Indirect","Indirecte"
"Pounds","Livres"
"Kilograms","Kilogrammes"
"Invalid response from carrier","Réponse non valide du transporteur"
"No available tracking items","Aucun élément de suivi disponible"
"For some reason we can't retrieve tracking info right now.","Pour une raison indéterminée nous n'arrivons pas à récuperer les informations de suivi actuellement."
"status","statut"
"Empty response","Réponse vide"
"None","Aucun"
"Field ","Champ "
" is required."," est requis."
"FedEx","FedEx"
"Enabled for Checkout","Activé pour commander"
"Title","Titre"
"Account ID","ID de compte"
"Please make sure to use only digits here. No dashes are allowed.","Veuillez utiliser uniquement des chiffres. Les tirets ne sont pas acceptés."
"Meter Number","Numéro du compteur"
"Key","Clé"
"Password","Mot de passe"
"Sandbox Mode","Mode Sandbox"
"Web-Services URL (Production)","URL de service Web (Production)"
"Web-Services URL (Sandbox)","URL de service Web (Bac à sable)"
"Packages Request Type","Type de demande de colis"
"Packaging","Emballage"
"Dropoff","Déposer"
"Weight Unit","Unité de poids"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Poids maximal du colis (veuillez consulter votre transporteur)"
"Calculate Handling Fee","Calculer les frais de dossier"
"Handling Applied","Frais de dossier appliqués"
"Handling Fee","Frais de traitement"
"Residential Delivery","Residential Delivery"
"Allowed Methods","Modes de livraison autorisés"
"Hub ID","Identifiant de hub"
"The field is applicable if the Smart Post method is selected.","Le champ est applicable si le mode Smart Post est choisi."
"Free Method","Mode gratuit"
"Enable Free Shipping Threshold","Autoriser un seuil de livraison gratuite"
"Free Shipping Amount Threshold","Montant du seuil de livraison gratuite"
"Displayed Error Message","Message d'erreur affiché"
"Ship to Applicable Countries","Livrer aux pays applicables"
"Ship to Specific Countries","Livrer aux pays spécifiques"
"Debug","Déboguage"
"Show Method if Not Applicable","Afficher le mode s'il n'est pas applicable"
"Sort Order","Ordre de tri""Abandoned Carts"
"Expected Delivery:","Livraison attendue :"
