"Europe First Priority","Envio Prioritário, Europa"
"1 Day Freight","Frete de 1 dia"
"2 Day Freight","Frete de 2 dias"
"2 Day","2 Dias"
"2 Day AM","2º Dia de Manhã"
"3 Day Freight","Frete de 3 dias"
"Express Saver","Express Saver"
"Ground","Terrestre"
"First Overnight","Envio Noturno Prioritário"
"Home Delivery","Entrega ao Domicílio"
"International Economy","Internacional económico"
"Intl Economy Freight","Frete Económico Internacional"
"International First","Internacional Primeira"
"International Ground","Terrestre, Internacional"
"International Priority","Internacional Prioritário"
"Intl Priority Freight","Frete Prioritário Internacional"
"Priority Overnight","Prioritário Noturno"
"Smart Post","Smart Post"
"Standard Overnight","Normal, Noturno"
"Freight","Frete"
"National Freight","Frete Nacional"
"Regular Pickup","Levantamento Normal"
"Request Courier","Solicitar Mensageiro"
"Drop Box","Caixa de Depósito"
"Business Service Center","Central de Serviços Comerciais"
"Station","Estação"
"FedEx Envelope","Envelope FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Box","Caixa FedEx"
"FedEx Tube","Tubo FedEx"
"FedEx 10kg Box","Caixa 10kg FedEx"
"FedEx 25kg Box","Caixa 25kg FedEx"
"Your Packaging","O Seu Pacote"
"Not Required","Não Necessário"
"Adult","Adulto"
"Direct","Direto"
"Indirect","Indireto"
"Pounds","Libras"
"Kilograms","Quilogramas"
"Invalid response from carrier","Resposta inválida do serviço de transporte"
"No available tracking items","Itens de rastreamento indisponíveis"
"For some reason we can't retrieve tracking info right now.","De momento não é possível obter informações para o acompanhamento da entrega."
"status","estado"
"Empty response","Sem resposta"
"None","Nenhum"
"Field ","Campo "
" is required."," é obrigatório."
"FedEx","FedEx"
"Enabled for Checkout","Ativado para Finalizar Compra"
"Title","Título"
"Account ID","ID da conta"
"Please make sure to use only digits here. No dashes are allowed.","Por favor certifique-se que apenas usa dígitos neste campo. Não são permitidos hífens."
"Meter Number","Número do Contador"
"Key","Chave"
"Password","Palavra-passe"
"Sandbox Mode","Modo Sandbox"
"Web-Services URL (Production)","URL dos Web-Services (Produção)"
"Web-Services URL (Sandbox)","URL dos Web-Services (Testes)"
"Packages Request Type","Tipo de Pedido de Pacotes"
"Packaging","Acondicionamento"
"Dropoff","Entrega"
"Weight Unit","Unidade de Peso"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo do Pacote (Por favor contacte a sua transportadora para saber qual o peso máximo suportado)"
"Calculate Handling Fee","Calcular Taxa de Processamento"
"Handling Applied","Processamento Aplicado"
"Handling Fee","Taxa de Processamento"
"Residential Delivery","Entrega Residencial"
"Allowed Methods","Métodos Permitidos"
"Hub ID","ID do Hub"
"The field is applicable if the Smart Post method is selected.","O campo é aplicável se o método Smart Post estiver selecionado."
"Free Method","Método Gratuito"
"Enable Free Shipping Threshold","Ativar Limite de Envio Gratuito"
"Free Shipping Amount Threshold","Limite de Quantidade para Envio Gratuito"
"Displayed Error Message","Mensagem de Erro Apresentada"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Debug","Depurar"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Sort Order","Ordenação"
"Expected Delivery:","Expected Delivery:"
