"Europe First Priority","Ihre Verpackung"
"1 Day Freight","Lieferung am nächsten Tag"
"2 Day Freight","Lieferung in 2 Tagen"
"2 Day","2 Tage"
"2 Day AM","2 Tag AM"
"3 Day Freight","Lieferung in drei Tagen"
"Express Saver","Expresslieferung"
"Ground","Erdgeschoss"
"First Overnight","First Overnight"
"Home Delivery","Hauszustellung"
"International Economy","Internationale Economy"
"Intl Economy Freight","Intl Economy Freight"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standard Overnight Lieferung"
"Freight","Fracht"
"National Freight","National Freight"
"Regular Pickup","Normale Abholung"
"Request Courier","Request Courier"
"Drop Box","Drop Box"
"Business Service Center","Geschäftskundenservicezentrum"
"Station","Station"
"FedEx Envelope","FedEx Brief"
"FedEx Pak","FedEx Paket"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Röhre"
"FedEx 10kg Box","FedEx 10 kg Box"
"FedEx 25kg Box","FedEx 25 kg Box"
"Your Packaging","Your Packaging"
"Not Required","Pakete Anfragetyp"
"Adult","Erwachsener"
"Direct","Direct"
"Indirect","Indirekt"
"Pounds","Gewichtseinheit"
"Kilograms","Kilogramm"
"Invalid response from carrier","Invalid response from carrier"
"No available tracking items","No available tracking items"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"status","Status"
"Empty response","Leere Antwort"
"None","Keine"
"Field ","Feld "
" is required."," ist erforderlich."
"FedEx","FedEx"
"Enabled for Checkout","Bearbeitungsgebühr hinzugefügt"
"Title","Titel"
"Account ID","Kundenkontokennung"
"Please make sure to use only digits here. No dashes are allowed.","Bitte achten Sie darauf, hier nur Ziffern zu verwenden. Bindstriche sind nicht erlaubt."
"Meter Number","Meter Number"
"Key","Schlüssel"
"Password","Passwort"
"Sandbox Mode","Sandbox Modus"
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
"Packaging","Verpackung"
"Dropoff","Dropoff"
"Weight Unit","Gewichtseinheit"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Handling Applied","Bearbeitung hinzugefügt"
"Handling Fee","Bearbeitungsgebühr"
"Residential Delivery","Residential Delivery"
"Allowed Methods","Zulässige Methoden"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"Free Method","Kostenlose Methode"
"Enable Free Shipping Threshold","Grenze für Kostenlosen Versand aktivieren"
"Free Shipping Amount Threshold","Schwellenwert für kostenlosen Versand"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Ship to Applicable Countries","Versand in erlaubte Länder"
"Ship to Specific Countries","Versand zu bestimmten Ländern"
"Debug","Debug"
"Show Method if Not Applicable","Versandart zeigen, auch wenn nicht möglich"
"Sort Order","Sortierreihenfolge"
"Expected Delivery:","Expected Delivery:"
