"Europe First Priority","Primeira prioridade Europa"
"1 Day Freight","Frete de 1 dia"
"2 Day Freight","Frete de 2 dias"
"2 Day","2 Dias"
"2 Day AM","2 dia AM"
"3 Day Freight","Frete de 3 dias"
"Express Saver","Express Saver"
"Ground","Terreno"
"First Overnight","Primeiro dia para a noite"
"Home Delivery","Entrega ao Domicílio"
"International Economy","Economia Internacional"
"Intl Economy Freight","Frete Internacional Econômico"
"International First","Prioridade Internacional"
"International Ground","Terreno internacional"
"International Priority","Prioridade Internacional"
"Intl Priority Freight","Frete Prioritário Internacional"
"Priority Overnight","Prioritário Noturno"
"Smart Post","Envio inteligente"
"Standard Overnight","Normal, Noturno"
"Freight","Frete"
"National Freight","Frete Nacional"
"Regular Pickup","Coleta regular"
"Request Courier","Solicitação de Courier"
"Drop Box","Caixa de Depósito"
"Business Service Center","Central de Serviços Comerciais"
"Station","Estação"
"FedEx Envelope","Envelope FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Box","Caixa FedEx"
"FedEx Tube","Tubo FedEx"
"FedEx 10kg Box","Caixa de 10kg FedEx"
"FedEx 25kg Box","Caixa de 25kg FedEx"
"Your Packaging","Seu pacote"
"Not Required","Não é necessário"
"Adult","Adulto"
"Direct","Direto"
"Indirect","Indireto"
"Pounds","Libras"
"Kilograms","Quilogramas"
"Invalid response from carrier","Resposta inválida do serviço de transporte"
"No available tracking items","Itens de rastreio não disponíveis"
"For some reason we can't retrieve tracking info right now.","Por alguma razão não é possível recuperar informação de rastreamento agora."
"status","estado"
"Empty response","Nenhuma resposta"
"None","Nenhum"
"Field ","Campo "
" is required."," é obrigatório."
"FedEx","FedEx"
"Enabled for Checkout","Ativado para Finalizar Compra"
"Title","Título"
"Account ID","ID da conta"
"Please make sure to use only digits here. No dashes are allowed.","Por favor, certifique-se de usar apenas dígitos aqui. Nenhum traço é permitido."
"Meter Number","Número do medidor"
"Key","Chave"
"Password","Senha"
"Sandbox Mode","Modo Sandbox"
"Web-Services URL (Production)","URL dos Web-Services (Produção)"
"Web-Services URL (Sandbox)","URL dos Web-Services (Sandbox)"
"Packages Request Type","Tipo Solicitado de Pacotes"
"Packaging","Embalagem"
"Dropoff","Entrega"
"Weight Unit","Unidade de Peso"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso máximo do pacote (por favor, consulte a sua operadora de transporte para máxima suportada de transporte de peso)"
"Calculate Handling Fee","Calcular a taxa de manuseio"
"Handling Applied","Processamento Aplicado"
"Handling Fee","Taxa de Manuseio"
"Residential Delivery","Entrega Residencial"
"Allowed Methods","Métodos Permitidos"
"Hub ID","ID do Hub"
"The field is applicable if the Smart Post method is selected.","O campo é aplicável se o método Smart Post estiver selecionado."
"Free Method","Método Gratuito"
"Enable Free Shipping Threshold","Habilitar limite de envio gratuito"
"Free Shipping Amount Threshold","Quantidade limite para envios gratuitos"
"Displayed Error Message","Mensagem de erro exibida"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Debug","Depurar"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Sort Order","Ordenação"
"Expected Delivery:","Entrega esperada:"
