"Europe First Priority","Evropa Prvi Prioritet"
"1 Day Freight","1 Dan Teretni Promet"
"2 Day Freight","2 Dan Teretni Promet"
"2 Day","2 Dana"
"2 Day AM","2 Dan AM"
"3 Day Freight","3 Dan Teretni Promet"
"Express Saver","Ekspres Štediša"
"Ground","Zemlja"
"First Overnight","Prva Noć"
"Home Delivery","Kućna Dostava"
"International Economy","International Economy"
"Intl Economy Freight","Intl Economy Freight"
"International First","International Prvi"
"International Ground","International Ground"
"International Priority","International Priority"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standard Overnight"
"Freight","Prevoz"
"National Freight","Nacionalni Prevoz"
"Regular Pickup","Standardno preuzimanje"
"Request Courier","Zahtev za kurirskom službom"
"Drop Box","Drop Box"
"Business Service Center","Centar za poslovne usluge"
"Station","Stanica"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Vaša Ambalaža"
"Not Required","Nije Zahtevano"
"Adult","Odrasli"
"Direct","Direktno"
"Indirect","Indirektno"
"Pounds","Funte"
"Kilograms","Kilogrami"
"Invalid response from carrier","Nevažeći odgovor od operatera"
"No available tracking items","Nema dostupnih stavki za praćenje"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"status","status"
"Empty response","Prazan odgovor"
"None","Ništa"
"Field ","Polje"
" is required.","je obavezno."
"FedEx","FedEx"
"Enabled for Checkout","Omogući za Plaćanje"
"Title","Naslov"
"Account ID","ID Naloga"
"Please make sure to use only digits here. No dashes are allowed.","Ovde obavezno koristite samo cifre. Nisu dozvoljene crtice."
"Meter Number","Meter Number"
"Key","Ključ"
"Password","Lozinka"
"Sandbox Mode","Mod Sandbox"
"Web-Services URL (Production)","URL Web Servisa (produkcija)"
"Web-Services URL (Sandbox)","URL Web Servisa (Sandbox)"
"Packages Request Type","Vrsta Zahteva za Pakete"
"Packaging","Pakovanje"
"Dropoff","Odbaciti"
"Weight Unit","Jedinica Težine"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimalna Težina Paketa (Proverite sa Vašim dostavljačem koja je maksimalna težina za isporuku)"
"Calculate Handling Fee","Izračunajte naknadu za rukovanje"
"Handling Applied","Primenjeno rukovanje"
"Handling Fee","Troškovi obrade"
"Residential Delivery","Kućna Dostava"
"Allowed Methods","Dozvoljene Metode"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Polje je primenjivo ukoliko je izabrana metoda Smart Post."
"Free Method","Besplatna Metoda"
"Enable Free Shipping Threshold","Omogućite prag besplatne isporuke"
"Free Shipping Amount Threshold","Prag besplatne isporuke"
"Displayed Error Message","Prikazana Poruka o Grešci"
"Ship to Applicable Countries","Dostavi u Odgovarajuću Državu"
"Ship to Specific Countries","Dostavi u Navedenu Državu"
"Debug","Otklanjanje grešaka"
"Show Method if Not Applicable","Prikaži Metod ako Nije Primenljivo"
"Sort Order","Redosled porudžbina"
"Expected Delivery:","Expected Delivery:"
