"Europe First Priority","Европа Први Приоритет"
"1 Day Freight","1 Дан Теретни Промет"
"2 Day Freight","2 Дан Теретни Промет"
"2 Day","2 Дана"
"2 Day AM","2 Дан АМ"
"3 Day Freight","3 Дан Теретни Промет"
"Express Saver","Експрес Штедиша"
"Ground","Земља"
"First Overnight","Прва Ноћ"
"Home Delivery","Кућна Достава"
"International Economy","International Economy"
"Intl Economy Freight","Intl Economy Freight"
"International First","Интернатионал Први"
"International Ground","International Ground"
"International Priority","International Priority"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standard Overnight"
"Freight","Превоз"
"National Freight","Национални Превоз"
"Regular Pickup","Стандардно преузимање"
"Request Courier","Захтев за курирском службом"
"Drop Box","Drop Box"
"Business Service Center","Центар за пословне услуге"
"Station","Станица"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Ваша Амбалажа"
"Not Required","Није Захтевано"
"Adult","Одрасли"
"Direct","Директно"
"Indirect","Индиректно"
"Pounds","Фунте"
"Kilograms","Килограми"
"Invalid response from carrier","Неважец́и одговор од оператера"
"No available tracking items","Нема доступних ставки за прац́ење"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"status","status"
"Empty response","Празан одговор"
"None","Ништа"
"Field ","Поље"
" is required.","је обавезно."
"FedEx","FedEx"
"Enabled for Checkout","Омогући за Плаћање"
"Title","Наслов"
"Account ID","ИД Налога"
"Please make sure to use only digits here. No dashes are allowed.","Овде обавезно користите само цифре. Нису дозвољене цртице."
"Meter Number","Meter Number"
"Key","Кључ"
"Password","Лозинка"
"Sandbox Mode","Мод Сандбоx"
"Web-Services URL (Production)","УРЛ Wеб Сервиса (продукција)"
"Web-Services URL (Sandbox)","УРЛ Wеб Сервиса (Сандбоx)"
"Packages Request Type","Врста Захтева за Пакете"
"Packaging","Паковање"
"Dropoff","Одбацити"
"Weight Unit","Јединица Тежине"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максимална Тежина Пакета (Проверите са Вашим достављачем која је максимална тежина за испоруку)"
"Calculate Handling Fee","Израчунајте накнаду за руковање"
"Handling Applied","Примењено руковање"
"Handling Fee","Трошкови обраде"
"Residential Delivery","Кућна Достава"
"Allowed Methods","Дозвољене Методе"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Поље је примењиво уколико је изабрана метода Смарт Пост."
"Free Method","Бесплатна Метода"
"Enable Free Shipping Threshold","Омогуц́ите праг бесплатне испоруке"
"Free Shipping Amount Threshold","Праг бесплатне испоруке"
"Displayed Error Message","Приказана Порука о Грешци"
"Ship to Applicable Countries","Достави у Одговарајућу Државу"
"Ship to Specific Countries","Достави у Наведену Државу"
"Debug","Отклањање грешака"
"Show Method if Not Applicable","Прикажи Метод ако Није Применљиво"
"Sort Order","Редослед поруџбина"
"Expected Delivery:","Expected Delivery:"
