"Europe First Priority","اولین اولویت اروپا"
"1 Day Freight","ارسال 1 روزه"
"2 Day Freight","ارسال 2 روزه"
"2 Day","2 روز"
"2 Day AM","دو روز صبح"
"3 Day Freight","ارسال 3 روزه"
"Express Saver","Express Saver"
"Ground","زمین"
"First Overnight","First Overnight"
"Home Delivery","تحویل درب منزل"
"International Economy","International Economy"
"Intl Economy Freight","Intl Economy Freight"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","ارسال هوشمند"
"Standard Overnight","Standard Overnight"
"Freight","ارسال"
"National Freight","ارسال ملی"
"Regular Pickup","پیکاپ عادی"
"Request Courier","درخواست پیک"
"Drop Box","صندوق پستی"
"Business Service Center","مرکز خدمات تجاری"
"Station","ایستگاه"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","جعبه 10 کیلویی FedEx"
"FedEx 25kg Box","جعبه 25 کیلویی FedEx"
"Your Packaging","بسته بندی شما"
"Not Required","الزامی نیست"
"Adult","بزرگسال"
"Direct","مستقیم"
"Indirect","غیر مستقیم"
"Pounds","پوند"
"Kilograms","کیلوگرم"
"Invalid response from carrier","پاسخ نامعتبر از ارسال کننده"
"No available tracking items","هیچ محصولی برای پیگیری وجود ندارد"
"For some reason we can't retrieve tracking info right now.","به دلایلی نمیتوانیم در حال حاضر اطلاعات ردیابی را بازیابی کنیم."
"status","وضعيت"
"Empty response","پاسخ خالی"
"None","هیچ یک"
"Field ","فیلد "
" is required."," الزامی است."
"FedEx","FedEx"
"Enabled for Checkout","فعال جهت پرداخت نهایی"
"Title","عنوان"
"Account ID","شناسه‌ حساب کاربری"
"Please make sure to use only digits here. No dashes are allowed.","لطفا اطمینان حاصل نمایید که در اینجا تنها از ارقام استفاده می کنید. خط فاصله‌ ها مجاز نیستند."
"Meter Number","شماره متر"
"Key","کليد"
"Password","کلمه عبور"
"Sandbox Mode","حالت سندباکس"
"Web-Services URL (Production)","آدرس خدمات وب (تولید)"
"Web-Services URL (Sandbox)","آدرس خدمات وب (Sandbox)"
"Packages Request Type","نوع درخواست بسته ها"
"Packaging","بسته بندی"
"Dropoff","تحویل"
"Weight Unit","واحد وزن"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","حداکثر وزن بسته (لطفا برای پشتیبانی در زمینه حداکثر وزن بسته ارسالی، با سرویس ارسالی انتخابی خود مشورت نمایید)"
"Calculate Handling Fee","محاسبه‌ هزینه‌ رسیدگی"
"Handling Applied","رسیدگی اعمال شد"
"Handling Fee","هزینه رسیدگی"
"Residential Delivery","تحویل درب منزل"
"Allowed Methods","روش‌ های مجاز"
"Hub ID","شناسه Hub"
"The field is applicable if the Smart Post method is selected.","اگر روش ارسال هوشمند انتخاب شده باشد، این فیلد قابل اجرا است."
"Free Method","روش رایگان"
"Enable Free Shipping Threshold","فعالسازی آستانه ارسال رایگان"
"Free Shipping Amount Threshold","مقدار آستانه حمل و نقل رایگان"
"Displayed Error Message","پیغام خطای نمایش داده شده"
"Ship to Applicable Countries","ارسال به کشورهای قابل قبول"
"Ship to Specific Countries","ارسال به کشورهای خاص"
"Debug","اشکال زدايي کردن"
"Show Method if Not Applicable","اگر روش اجرا شدنی نبود، آن را نمایش بده"
"Sort Order","ترتيب سفارش"
"Expected Delivery:","Expected Delivery:"
