"Europe First Priority","Europa førsteprioritet"
"1 Day Freight","1 dag frakt"
"2 Day Freight","2-dagers frakt"
"2 Day","2 Dager"
"2 Day AM","2 dag AM"
"3 Day Freight","3-dagers frakt"
"Express Saver","Ekspress lagring"
"Ground","Bakken"
"First Overnight","First Overnight"
"Home Delivery","Hjemkjøring"
"International Economy","Internasjonal økonomi"
"Intl Economy Freight","Internasjonal økonomifrakt"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standard over-natt"
"Freight","Frakt"
"National Freight","Innenlands frakt"
"Regular Pickup","Regular Pickup"
"Request Courier","Request Courier"
"Drop Box","Drop Box"
"Business Service Center","Business Service Center"
"Station","Station"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Your Packaging"
"Not Required","Ikke nødvendig"
"Adult","Adult"
"Direct","Direct"
"Indirect","Indirect"
"Pounds","Pund"
"Kilograms","Kilo"
"Invalid response from carrier","Invalid response from carrier"
"No available tracking items","No available tracking items"
"For some reason we can't retrieve tracking info right now.","For en eller annen grunn kan vi ikke hente sporingsinformasjon akkurat nå."
"status","status"
"Empty response","Tomt svar"
"None","Ingen"
"Field ","Felt "
" is required."," er påkrevd."
"FedEx","FedEx"
"Enabled for Checkout","Aktivert for Checkout"
"Title","Tittel"
"Account ID","Account ID"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Meter Number","Meter Number"
"Key","Nøkkel"
"Password","Passord"
"Sandbox Mode","Sandbox Mode"
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Pakker forespørselstype"
"Packaging","Packaging"
"Dropoff","Dropoff"
"Weight Unit","Vektenhet"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimal Pakkevekt (Vennligst se transportør for maksimal støttede frakt vekt)"
"Calculate Handling Fee","Beregn håndteringsgebyr"
"Handling Applied","Håndtering brukt"
"Handling Fee","Ekspedisjonsgebyr"
"Residential Delivery","Residential Delivery"
"Allowed Methods","Tillatte metoder"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Feltet er tilgjengelig hvis Smart Post-metoden er valgt."
"Free Method","Gratis metode"
"Enable Free Shipping Threshold","Aktiver gratis frakt terskel"
"Free Shipping Amount Threshold","Gratis frakt beløp terskel"
"Displayed Error Message","Vis Feilmelding"
"Ship to Applicable Countries","Send til bestemte land"
"Ship to Specific Countries","Send til bestemte land"
"Debug","Feilsøk"
"Show Method if Not Applicable","Vis metode hvis ikke gjeldende"
"Sort Order","Sorteringsrekkefølge"
"Expected Delivery:","Expected Delivery:"
