"Add New Template","Lisa uus mall"
"Transactional Emails","Transactional Emails"
"Back","Tagasi"
"Reset","Tühista"
"Delete Template","Delete Template"
"Convert to Plain Text","Muuda lihttekstiks"
"Return Html Version","Return Html Version"
"Preview Template","Preview Template"
"Save Template","Save Template"
"Load Template","Load Template"
"Edit Email Template","Edit Email Template"
"New Email Template","Uus e-kirja põhi"
"Default Config","Vaikeseaded"
"Template Information","Template Information"
"Currently Used For","Currently Used For"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Insert Variable...","Insert Variable..."
"Template Content","Template Content"
"Template Styles","Template Styles"
"Preview","Eelvaade"
"Unknown","Tundmatu"
"You deleted the email template.","You deleted the email template."
"The email template is currently being used.","The email template is currently being used."
"We can't delete email template data right now. Please review log and try again.","We can't delete email template data right now. Please review log and try again."
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template","Edit Template"
"Edit System Template","Edit System Template"
"New Template","Uus mall"
"New System Template","New System Template"
"Email Templates","E-posti põhjad"
"Email Preview","Email Preview"
"An error occurred. The email template can not be opened for preview.","An error occurred. The email template can not be opened for preview."
"This email template no longer exists.","This email template no longer exists."
"You saved the email template.","E-posti mall salvestatud."
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"%1","%1"
"Template Variables","Malli muutujad"
"Please enter a template name.","Sisesta malli nimi."
"Duplicate Of Template Name","Malli nime duplikaat"
"Invalid transactional email code: %1","Vale tehingu e-posti kood: %1"
"Requested invalid store ""%1""","Requested invalid store ""%1"""
"Contents of %1 could not be loaded or is empty","Contents of %1 could not be loaded or is empty"
"""file"" parameter must be specified","""faili"" parameeter peab olema määratud"
"Contents of the specified CSS file could not be loaded or is empty","Contents of the specified CSS file could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""file"" parameter must be specified and must not be empty"
"Design params must be set before calling this method","Design params must be set before calling this method"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Error filtering template: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Invalid sender data"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Pealkiri"
"expectedResult","expectedResult"
"Load Default Template","Load Default Template"
"Template","Mall"
"Are you sure you want to strip tags?","Are you sure you want to strip tags?"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
"Footer","Jalus"
"Thank you, %store_name","Aitäh, %store_name"
"Header","Päis"
"Communications","Side"
"No Templates Found","No Templates Found"
"ID","ID"
"Added","Lisatud"
"Updated","Uuendatud"
"Subject","Pealkiri"
"Template Type","Malli tüüp"
"Action","Toiming"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Logo pilt"
"Logo Image Alt","Logo Image Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px""."
"Logo Width","Logo laius"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px""."
"Logo Height","Logo kõrgus"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Email template chosen based on theme fallback, when the ""Default"" option is selected."
"Header Template","Päise mall"
"Footer Template","Jaluse mall"
