"Add New Template","Tilføj ny skabelon"
"Transactional Emails","Transactional Emails"
"Back","Tilbage"
"Reset","Nulstil"
"Delete Template","Slet skabelon"
"Convert to Plain Text","Konverter til almindelig tekst"
"Return Html Version","Returner til HTML-version"
"Preview Template","Preview skabelon"
"Save Template","Gem skabelon"
"Load Template","Load Template"
"Edit Email Template","Rediger e-mail skabelon"
"New Email Template","Ny e-mail skabelon"
"Default Config","Standard Konfiguration"
"Template Information","Template information"
"Currently Used For","Currently Used For"
"Template Name","Skabelonnavn"
"Template Subject","Skabelon emne"
"Insert Variable...","Indsæt variabel..."
"Template Content","Skabelon indhold"
"Template Styles","Skabelonstil"
"Preview","Forhåndsvisning"
"Unknown","Ukendt"
"You deleted the email template.","Du har slettet e-mail-skabelonen."
"The email template is currently being used.","E-mail-skabelonen bruges i øjeblikket."
"We can't delete email template data right now. Please review log and try again.","Vi kan ikke slette e-mail skabelon data lige nu. Læs log, og prøv igen."
"We can't find an email template to delete.","Vi kan ikke finde en e-mail-skabelon til at slette."
"Edit Template","Rediger skabelon"
"Edit System Template","Edit System Template"
"New Template","New Template"
"New System Template","New System Template"
"Email Templates","Email skabeloner"
"Email Preview","Email Preview"
"An error occurred. The email template can not be opened for preview.","An error occurred. The email template can not be opened for preview."
"This email template no longer exists.","This email template no longer exists."
"You saved the email template.","You saved the email template."
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"%1","%1"
"Template Variables","Template Variables"
"Please enter a template name.","Please enter a template name."
"Duplicate Of Template Name","Duplicate Of Template Name"
"Invalid transactional email code: %1","Invalid transactional email code: %1"
"Requested invalid store ""%1""","Requested invalid store ""%1"""
"Contents of %1 could not be loaded or is empty","Contents of %1 could not be loaded or is empty"
"""file"" parameter must be specified","""file"" parameter must be specified"
"Contents of the specified CSS file could not be loaded or is empty","Contents of the specified CSS file could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""file"" parameter must be specified and must not be empty"
"Design params must be set before calling this method","Design params must be set before calling this method"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Error filtering template: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Invalid sender data"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Titel"
"expectedResult","expectedResult"
"Load Default Template","Load Default Template"
"Template","Skabelon"
"Are you sure you want to strip tags?","Are you sure you want to strip tags?"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
"Footer","Sidefod"
"Thank you, %store_name","Tak, %store_name"
"Header","Sidehovede"
"Communications","Kommunikation"
"No Templates Found","Ingen skabeloner fundet"
"ID","ID"
"Added","Tilføjet"
"Updated","Opdateret"
"Subject","Emne"
"Template Type","Skabelontype"
"Action","Handling"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Logo billede"
"Logo Image Alt","Logo Image Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px""."
"Logo Width","Logo Width"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px""."
"Logo Height","Logo Height"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Email template chosen based on theme fallback, when the ""Default"" option is selected."
"Header Template","Header Template"
"Footer Template","Footer Template"
