"Manage Shopping Cart","Quản lý giỏ hàng"
"Create Order","Tạo đơn hàng"
"Back","Trở lại"
"Add Products","Thêm sản phẩm"
"Update Items and Quantities","Cập nhật sản phẩm và số lượng"
"Are you sure you want to clear your cart?","Bạn có chắc chắn muốn xóa giỏ hàng?"
"Clear my shopping cart","Xóa giỏ hàng"
"Add selections to my cart","Thêm sản phẩm đã chọn vào giỏ hàng"
"Cancel","Hủy bỏ"
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Select products you want to buy","Chọn sản phẩm bạn muốn mua"
"Product","Sản phẩm"
"Price","Giá"
"Quantity","Số lượng"
"Products in the Comparison List (%1)","So sánh sản phẩm (%1)"
"Last ordered items (%1)","Last ordered items (%1)"
"Products","Các sản phẩm"
"ID","ID"
"SKU","MÃ SẢN PHẨM"
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Recently Viewed Products (%1)"
"Add to Shopping Cart by SKU","Add to Shopping Cart by SKU"
"Add to Shopping Cart","Add to Shopping Cart"
"Wish List (%1)","Wish List (%1)"
"Apply","Áp dụng"
"Configure","Cấu hình"
"Add to Order by SKU","Add to Order by SKU"
"Add to Order","Add to Order"
"Add Products to Order","Add Products to Order"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>"
"Remove All","Remove All"
"Only %1%2%3 left in stock","Only %1%2%3 left in stock"
"You can buy up to %1 of these per purchase.","You can buy up to %1 of these per purchase."
"You must buy at least %1 of these per purchase.","You must buy at least %1 of these per purchase."
"Specify the product's options.","Specify the product's options."
"Alert me when this item is available.","Alert me when this item is available."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"We can't find this store.","We can't find this store."
"Customers","Khách hàng"
"Shopping Cart","Giỏ mua hàng"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","You do not have access to this."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","An error has occurred. See error log for details."
"You cannot configure a product.","You cannot configure a product."
"You removed the items.","You removed the items."
"You removed the item.","You removed the item."
"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ mua hàng của bạn."
"You cannot add a product.","You cannot add a product."
"Order by SKU","Order by SKU"
"The SKU was not found in the catalog.","Mã sản phẩm không được tìm thấy trong danh mục."
"Availability: Out of stock.","Availability: Out of stock."
"We don't have as many of these as you want.","Chúng tôi không có đủ số lượng cho sản phẩm bạn muốn."
"You can't add this many to your cart.","Bạn không thể thêm số lượng sản phẩm này vào giỏ hàng."
"You need to choose options for your item.","Bạn cần chọn tùy chọn cho sản phẩm của bạn."
"We can't add the item to your cart.","Chúng tôi không thể thêm sản phẩm vào giỏ hàng."
"Please enter an actual number in the ""Qty"" field.","Please enter an actual number in the ""Qty"" field."
"This product is assigned to another website.","This product is assigned to another website."
"You can add only enabled products.","You can add only enabled products."
"You cannot upload this file.","You cannot upload this file."
"The file is empty.","The file is empty."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU."
"You have not entered a product SKU.","You have not entered a product SKU."
"We can't add a product to cart by id ""%1"".","We can't add a product to cart by id ""%1""."
"Something went wrong while reordering this product.","Something went wrong while reordering this product."
"We can't find this wish list.","Chúng tôi không tìm thấy danh sách cần mua này."
"You added %1 product to your shopping cart.","You added %1 product to your shopping cart."
"You added %1 products to your shopping cart.","You added %1 products to your shopping cart."
"%1 product requires your attention.","%1 product requires your attention."
"%1 products require your attention.","%1 products require your attention."
"Yes, for Specified Customer Groups","Yeah, cho các nhóm khách hàng được chỉ định"
"Yes, for Everyone","Vâng, cho mọi người"
"No","Không"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Please upload the file in .csv format."
"%1 item(s) need your attention.","%1 item(s) need your attention."
"Apply Coupon Code","Dùng mã khuyến mãi"
"Remove Coupon Code","Bỏ mã khuyến mãi"
"Remove","Loại bỏ"
"The coupon code ""%1"" is not valid.","Mã giảm giá ""%1"" không hợp lệ."
"Shopping Cart Items","Giỏ hàng sản phẩm"
"Qty","Số lượng"
"Subtotal","Tổng phụ"
"Discount","Chiết khấu"
"Row Subtotal","Tổng theo hàng"
"Action","Thao tác"
"No ordered items","Không có sản phẩm nào được đặt"
"Total %1 product(s)","Tổng số sản phẩm %1"
"Subtotal:","Tổng phụ:"
"Please select","Vui lòng chọn"
"Move to Wish List","Chuyển đến Danh sách mong muốn"
"No item specified.","Không xác nhận sản phẩm."
"Are you sure you want to remove this item?","Bạn có chắc rằng bạn muốn xóa sản phẩm này?"
"SKU number","SKU number"
"Upload File","Tải lên tập tin"
"Your csv file must include ""sku"" and ""qty"" columns.","Your csv file must include ""sku"" and ""qty"" columns."
"Reset","Thiết lập lại"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Only <span id=""%1_max_allowed"">%2</span> in stock"
"Item","Sản phẩm"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"What's this?","Đây là gì?"
"Incl. Tax","Đã bao gồm thuế"
"Excl. Tax","Chưa bao gồm thuế"
"Edit item parameters","Sửa thông số sản phẩm"
"Edit","Chỉnh sửa"
"Remove item","Xóa sản phẩm"
"Products Requiring Attention","Products Requiring Attention"
"Add to Cart","Thêm vào giỏ hàng"
"Sku","Mã sản phẩm"
"File","Tệp"
"File extensions allowed: .csv","File extensions allowed: .csv"
"Add Row","Add Row"
"Remove Row","Remove Row"
"Add Products By SKU","Thêm các sản phẩm bằng mã sản phẩm"
"Shopping Cart Management","Shopping Cart Management"
"View Shopping Cart","View Shopping Cart"
"View and modify Shopping Cart","View and modify Shopping Cart"
"Order by SKU Settings","Order by SKU Settings"
"Enable Order by SKU on My Account in Storefront","Enable Order by SKU on My Account in Storefront"
"Customer Groups","Nhóm khách hàng"
"Apply Coupon","Áp dụng các phiếu giảm giá"
"Order by SKU Description","Order by SKU Description"
"Display a Link to Loading a Spreadsheet","Hiển thị Đường Dẫn đến Tải một Bảng Tính"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Link Text","Đường dẫn dạng ký tự chữ"
"The text of the link to the My Account &gt; Order by SKU page","Ký tự chữ của đường link dẫn đến Tài Khoản Của Tôi và Đơn Hàng bằng trang SKU"
"Load a list of SKUs","Tải danh sách các mã SKU"
"Order by SKU Template","Order by SKU Template"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
