"Manage Shopping Cart","Administrere handlekurv"
"Create Order","Opprette ordre"
"Back","Tilbake"
"Add Products","Legg til produkter"
"Update Items and Quantities","Oppdatere varer og antall"
"Are you sure you want to clear your cart?","Er du sikker på at du vil tømme handlekurven?"
"Clear my shopping cart","Tøm min handlekurv"
"Add selections to my cart","Legg valgte produkter i handlevognen min"
"Cancel","Avbryt"
"Shopping Cart for %1 in %2","Handlekurv for %1 i %2"
"Select products you want to buy","Velg produkter du ønsker å kjøpe"
"Product","Produkt"
"Price","Pris"
"Quantity","Antall"
"Products in the Comparison List (%1)","Produkter i sammenlignings-listen (%1)"
"Last ordered items (%1)","Siste bestilte varer (%1)"
"Products","Produkter"
"ID","Id"
"SKU","Varenummer"
"Recently Compared Products (%1)","Nylig sammenlignede produkter (%1)"
"Recently Viewed Products (%1)","Nylig viste produkter (%1)"
"Add to Shopping Cart by SKU","Legg til handlekurv etter SKU"
"Add to Shopping Cart","Legg til handlekurv"
"Wish List (%1)","Ønskeliste (%1)"
"Apply","Anvend"
"Configure","Konfigurer"
"Add to Order by SKU","Legge til ordre etter SKU"
"Add to Order","Legge til ordre"
"Add Products to Order","Legg produkter til ordren"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(er) krever tilsyn.</span>"
"Remove All","Fjern alle"
"Only %1%2%3 left in stock","Bare %1%2%3 igjen på lager"
"You can buy up to %1 of these per purchase.","Du kan kjøpe %1 av disse per innkjøp."
"You must buy at least %1 of these per purchase.","Du må kjøpe minst %1 av disse per innkjøp."
"Specify the product's options.","Angi alternativ for produktet."
"Alert me when this item is available.","Varsle meg når dette produkt er tilgjengelig."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Administrasjon av handlekurv er deaktivert for denne kunden."
"We can't find this store.","We can't find this store."
"Customers","Kunder"
"Shopping Cart","Handlekurv"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Du har ikke tilgang til dette."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Det har oppstått en feil. Se i feilloggen for mer informasjon."
"You cannot configure a product.","Du kan ikke konfigurere et produkt."
"You removed the items.","Du fjernet elementene."
"You removed the item.","Du fjernet varen."
"You added %1 to your shopping cart.","Du har lagt til %1 i handlekurven."
"You cannot add a product.","Du kan ikke legge til et produkt."
"Order by SKU","Sorter etter SKU"
"The SKU was not found in the catalog.","Produktet med denne SKU verdien ble ikke funnet i katalogen."
"Availability: Out of stock.","Tilgjengelighet: Ikke på lager."
"We don't have as many of these as you want.","Vi har ikke så mange av disse som du ønsker."
"You can't add this many to your cart.","Du kan ikke legge til så mange i din handlekurv."
"You need to choose options for your item.","Velg ønsket variant av produktet av produktet."
"We can't add the item to your cart.","Vi kan ikke legge til elementet i handlekurven."
"Please enter an actual number in the ""Qty"" field.","Vennligst oppgi faktisk antall i ""Antall"" feltet."
"This product is assigned to another website.","Dette produktet tilhører en annen webside."
"You can add only enabled products.","Du kan bare legge til aktiverte produkter."
"You cannot upload this file.","Du kan ikke laste opp denne filen."
"The file is empty.","Filen er tom."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Du har ikke lagt inn et produktnummer (SKU). Vennligst <a href=""%1"">klikk her</a> for å legge til proukt(er) ved produktnummer (SKU)."
"You have not entered a product SKU.","Du har ikke lagt inn et produktnummer (SKU)."
"We can't add a product to cart by id ""%1"".","Vi kan ikke legge til et produkt av id ""%1""."
"Something went wrong while reordering this product.","Noe gikk galt med bestillingen av dette produktet."
"We can't find this wish list.","Vi finner ikke denne ønskeliste."
"You added %1 product to your shopping cart.","Du la %1 produkt til handlekurven."
"You added %1 products to your shopping cart.","Du la %1 produkt til handlekurven."
"%1 product requires your attention.","%1 produkt krever din oppmerksomhet."
"%1 products require your attention.","%1 produkter krever din oppmerksomhet."
"Yes, for Specified Customer Groups","Ja, for angitte kundegrupper"
"Yes, for Everyone","Ja, for alle"
"No","Nei"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Vennligst opplast filen i .csv format."
"%1 item(s) need your attention.","%1 element(er) krever din oppmerksomhet."
"Apply Coupon Code","Bruk kupongkode"
"Remove Coupon Code","Fjern kupong kode"
"Remove","Fjern"
"The coupon code ""%1"" is not valid.","Rabattkode ""%1"" er ikke gyldig."
"Shopping Cart Items","Handlekurvelementer"
"Qty","Antall"
"Subtotal","Delsum"
"Discount","Rabatt"
"Row Subtotal","Rad delsum"
"Action","Handling"
"No ordered items","Ingen bestilte varer"
