"Manage Shopping Cart","Hallitse ostoskoria"
"Create Order","Luo tilaus"
"Back","Takaisin"
"Add Products","Lisää tuotteita"
"Update Items and Quantities","Päivitä nimikkeet ja määrät"
"Are you sure you want to clear your cart?","Oletko varma, että haluat tyhjentää ostoskorisi?"
"Clear my shopping cart","Tyhjennä Ostoskori"
"Add selections to my cart","Lisää valinnat ostoskoriin"
"Cancel","Peruuta"
"Shopping Cart for %1 in %2","Asiakkaan %1 ostoskori kaupassa %2"
"Select products you want to buy","Valitse tuotteet, jotka haluat ostaa"
"Product","Tuote"
"Price","Hinta"
"Quantity","Määrä"
"Products in the Comparison List (%1)","Tuotteet vertailulistalla (%1)"
"Last ordered items (%1)","Viimeksi tilatut tuotteet (%1)"
"Products","Tuotteet"
"ID","Tunnus"
"SKU","Tuotenro"
"Recently Compared Products (%1)","Äskettäin vertaillut tuotteet (%1)"
"Recently Viewed Products (%1)","Äskettäin tarkastellut tuotteet (%1)"
"Add to Shopping Cart by SKU","Lisää ostoskoriin tuotenumeroittain"
"Add to Shopping Cart","Lisää ostoskoriin"
"Wish List (%1)","Toivelista (%1)"
"Apply","Käytä"
"Configure","Määritä"
"Add to Order by SKU","Lisää tilaukseen tuotenumeroittain"
"Add to Order","Lisää tilaukseen"
"Add Products to Order","Lisää tuotteet tilaukselle"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> tuote(tta) vaatii huomiota.</span>"
"Remove All","Poista kaikki"
"Only %1%2%3 left in stock","Vain %1%2%3 jäljellä varastossa"
"You can buy up to %1 of these per purchase.","Voit ostaa näitä enintään %1 kpl per ostotapahtuma."
"You must buy at least %1 of these per purchase.","Sinun täytyy ostaa vähintään %1 näitä per ostotapahtuma."
"Specify the product's options.","Määritä tuotteen vaihtoehdot."
"Alert me when this item is available.","Ilmoita, kun tämä tuote on saatavilla."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Ostoskorin hallinta ei ole käytössä tälle asiakkaalle."
"We can't find this store.","We can't find this store."
"Customers","Asiakkaat"
"Shopping Cart","Ostoskori"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Sinulla ei ole pääsyä tähän."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
