"Manage Shopping Cart","Beheer winkelwagen"
"Create Order","Bestelling aanmaken"
"Back","Terug"
"Add Products","Voeg producten toe"
"Update Items and Quantities","Werk producten en aantallen bij"
"Are you sure you want to clear your cart?","Bent u zeker dat u uw winkelmand wilt leegmaken?"
"Clear my shopping cart","Maak mijn winkelmand leeg"
"Add selections to my cart","Voeg selecties toe aan mijn winkelmand"
"Cancel","Annuleer"
"Shopping Cart for %1 in %2","Winkelmand voor %1 in %2"
"Select products you want to buy","Selecteer de producten die u wilt kopen"
"Product","Product"
"Price","prijs"
"Quantity","Aantal"
"Products in the Comparison List (%1)","Producten in de vergelijkingslijst (%1)"
"Last ordered items (%1)","Laatst bestelde producten (%1)"
"Products","Producten"
"ID","ID"
"SKU","Art.nr."
"Recently Compared Products (%1)","Recent vergeleken producten (%1)"
"Recently Viewed Products (%1)","Recent bekeken producten (%1)"
"Add to Shopping Cart by SKU","Toevoegen aan winkelwagen via art.nr."
"Add to Shopping Cart","Voeg toe aan winkelmand"
"Wish List (%1)","Verlanglijst (%1)"
"Apply","Toepassen"
"Configure","Configureren"
"Add to Order by SKU","Toevoegen aan bestelling via art.nr."
"Add to Order","Voeg toe aan bestelling"
"Add Products to Order","Voeg producten toe aan bestelling"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(en) vereisen aandacht.</span>"
"Remove All","Alles verwijderen"
"Only %1%2%3 left in stock","Slechts %1%2%3 in voorraad"
"You can buy up to %1 of these per purchase.","U kunt tot %1 van dit product kopen per aankoop."
"You must buy at least %1 of these per purchase.","U moet ten minste %1 van dit product aanschaffen per aankoop."
"Specify the product's options.","Geef de productopties aan."
"Alert me when this item is available.","Verwittig me wanneer dit product beschikbaar is."
"We can't find this customer.","Klant niet gevonden."
"Shopping cart management is disabled for this customer.","Het beheer van de winkelmand is uitgeschakeld voor deze klant."
"We can't find this store.","Winkel niet gevonden."
"Customers","Klanten"
"Shopping Cart","Winkelwagen"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","U heeft hier geen toegang toe."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"You cannot configure a product.","U kunt geen product aanpassen."
"You removed the items.","U heeft de producten verwijderd."
"You removed the item.","U heeft het product verwijderd."
"You added %1 to your shopping cart.","U heeft %1 aan de winkelwagen toegevoegd."
"You cannot add a product.","U kunt geen product toevoegen."
"Order by SKU","Bestel via art.nr."
"The SKU was not found in the catalog.","Het product is niet gevonden in de catalogus."
"Availability: Out of stock.","Beschikbaarheid: niet op voorraad."
"We don't have as many of these as you want.","De voorraad is kleiner dan het aantal gevraagd."
"You can't add this many to your cart.","Het is niet mogelijk deze hoeveelheid aan de winkelwagen toe te voegen."
"You need to choose options for your item.","Er zijn verplichte optie keuzes voor dit product."
"We can't add the item to your cart.","We kunnen het product niet toevoegen aan uw Winkelwagen."
"Please enter an actual number in the ""Qty"" field.","Vul een getal in bij het ""Aantal"" veld."
"This product is assigned to another website.","Dit product is aan een andere website toegewezen."
"You can add only enabled products.","Alleen actieve producten kunnen worden toegevoegd."
"You cannot upload this file.","Dit bestand kan niet worden geüpload."
"The file is empty.","Het bestand is leeg."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","U hebt geen artikelnummer ingevuld. Gelieve<a href=""%1"">hier te klikken</a> om producten via Art. nr. toe te voegen."
"You have not entered a product SKU.","U hebt geen artikelnummer ingevuld."
"We can't add a product to cart by id ""%1"".","We kunnen geen product met id ""%1"" aan de winkelmand toevoegen."
"Something went wrong while reordering this product.","Er is een fout opgetreden bij het opnieuw bestellen van dit product."
"We can't find this wish list.","Deze verlanglijst kan niet gevonden worden."
"You added %1 product to your shopping cart.","U heeft %1 product aan uw winkelmand toegevoegd."
"You added %1 products to your shopping cart.","U heeft %1 producten aan uw winkelmand toegevoegd."
"%1 product requires your attention.","%1 product vereist uw aandacht."
"%1 products require your attention.","%1 producten vereisen uw aandacht."
"Yes, for Specified Customer Groups","Ja, voor specifieke klantengroepen"
"Yes, for Everyone","Ja, voor iedereen"
"No","Nee"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Gelieve het bestand te uploaden in .csv formaat."
"%1 item(s) need your attention.","%1 producten(en) vereisen uw aandacht."
"Apply Coupon Code","Pas kortingscode toe"
"Remove Coupon Code","Verwijder kortingscode"
"Remove","Verwijder"
"The coupon code ""%1"" is not valid.","De kortingscode ""%1"" is niet geldig."
"Shopping Cart Items","Producten in winkelmand"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Discount","Korting"
"Row Subtotal","Subtotaal rij"
"Action","Actie"
"No ordered items","Geen bestelde artikelen"
"Total %1 product(s)","Totaal %1 product(en)"
"Subtotal:","Subtotaal:"
"Please select","Selecteer"
"Move to Wish List","Naar verlanglijst verplaatsen"
"No item specified.","Geen artikel gespecificeerd."
"Are you sure you want to remove this item?","Weet u zeker dat u dit product wilt wissen?"
"SKU number","Art.nr."
"Upload File","Bestand uploaden"
"Your csv file must include ""sku"" and ""qty"" columns.","Het csv-bestand moet ""sku"" en ""qty"" kolommen bevatten."
"Reset","Resetten"
"SKU: ","Art.nr:"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Nog <span id=""%1_max_allowed"">%2</span> in voorraad"
"Item","Product"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"What's this?","Wat is dit?"
"Incl. Tax","Incl. BTW"
"Excl. Tax","Excl. BTW"
"Edit item parameters","Bewerk productparameters"
"Edit","Bewerken"
"Remove item","Verwijder dit artikel"
"Products Requiring Attention","Producten die aandacht behoeven"
"Add to Cart","In Winkelwagen"
"Sku","Art.nr."
"File","Bestand"
"File extensions allowed: .csv","Toegestande extensie: .csv"
"Add Row","Rij Toevoegen"
"Remove Row","Rij verwijderen"
"Add Products By SKU","Voeg producten toe via SKU"
"Shopping Cart Management","Winkelmandbeheer"
"View Shopping Cart","Bekijk winkelmand"
"View and modify Shopping Cart","Bekijk en wijzig winkelmand"
"Order by SKU Settings","Bestel per Art.nr. Instellingen"
"Enable Order by SKU on My Account in Storefront","Schakel 'bestel per Art. nr.' in, in het winkelaanzicht op Mijn Account"
"Customer Groups","Klantengroepen"
"Apply Coupon","Pas kortingscode toe"
"Order by SKU Description","Bestel via SKU Omschrijving"
"Display a Link to Loading a Spreadsheet","Geef een link weer om een Spreadsheet te laden"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definieert of een link naar Account &gt; Bestel via art. nr. pagina wordt getoond op het widget"
"Link Text","Linktekst"
"The text of the link to the My Account &gt; Order by SKU page","De tekst van de link naar de Account &gt; Bestel via art. nr. pagina"
"Load a list of SKUs","Laad een lijst met SKU's"
"Order by SKU Template","Bestel via SKU Template"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","Deze klant kan niet worden gevonden. Controleer de klant en probeer het nogmaals."
"This store couldn't be found. Verify the store and try again.","Deze winkel kon niet worden gevonden. Controleer de winkel en probeer het opnieuw."
"An error occurred. For details, see the error log.","Er is een fout opgetreden. Voor details, raadpleeg het foutenlogboek."
"Orders can only be completed in an active store. Verify the store and try again.","Bestellingen kunnen alleen worden afgerond in een actieve winkel. Controleer de winkel en probeer opnieuw."
"The ordered item needs to be loaded. Load the item and try again.","Het bestelde item moet geladen worden. Laad het item en probeer het opnieuw."
"The quote item ID needs to be received. Set the ID and try again.","Het offerte item ID moet worden ontvangen. Stel het ID in en probeer het opnieuw."
"The quote item needs to be loaded. Load the item and try again.","Het offerte item moet geladen worden. Laad het item en probeer het opnieuw."
"The wish list item ID needs to be received. Set the ID and try again.","Het verlanglijst item ID moet worden ontvangen. Stel het ID in en probeer het opnieuw."
"The wish list item needs to be loaded. Load the item and try again.","Het verlanglijst item moet worden geladen. Laad het item en probeer het opnieuw."
