"Manage Shopping Cart","ショッピングカート管理"
"Create Order","注文作成"
"Back","戻る"
"Add Products","商品を追加"
"Update Items and Quantities","商品と数量をアップデート"
"Are you sure you want to clear your cart?","カートをクリアしてもよろしいですか？"
"Clear my shopping cart","ショッピングカートをクリアする"
"Add selections to my cart","カートに選択した商品を追加する"
"Cancel","キャンセル"
"Shopping Cart for %1 in %2","%2　の %1 のショッピングカート"
"Select products you want to buy","購入する製品を選択してください"
"Product","商品"
"Price","価格"
"Quantity","個数"
"Products in the Comparison List (%1)","比較リストの製品 (%1)"
"Last ordered items (%1)","最後に注文した商品(%1)"
"Products","商品"
"ID","ID"
"SKU","商品番号"
"Recently Compared Products (%1)","最近比較された製品 (%1)"
"Recently Viewed Products (%1)","最近見た製品 (%1)"
"Add to Shopping Cart by SKU","商品番号によりショッピングカートに追加"
"Add to Shopping Cart","ショッピングカートに追加"
"Wish List (%1)","ほしい物リスト（%1）"
"Apply","適用"
"Configure","構成"
"Add to Order by SKU","商品番号による注文の追加"
"Add to Order","注文に追加"
"Add Products to Order","注文する商品を追加する"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span id = ""sku-attention-num"">%1</span>製品に注意が必要です。</span>"
"Remove All","すべて削除"
"Only %1%2%3 left in stock","%1%2%3 在庫が残っています"
"You can buy up to %1 of these per purchase.","1回の購入につき最大で %1 を購入することができます。"
"You must buy at least %1 of these per purchase.","購入ごとに少なくとも %1 を購入する必要があります。"
"Specify the product's options.","製品のオプションを指定します。"
"Alert me when this item is available.","この商品が入荷したら通知してください。"
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","この顧客のショッピングカート管理は無効です。"
"We can't find this store.","We can't find this store."
"Customers","顧客"
"Shopping Cart","カート"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","これにアクセスできません。"
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","エラーが発生しました。ログを確認してください。"
"You cannot configure a product.","Y製品を構成することはできません。"
"You removed the items.","アイテムを削除しました。"
"You removed the item.","アイテムを削除しました。"
"You added %1 to your shopping cart.","%1 をカートに追加しました"
"You cannot add a product.","製品を追加することはできません。"
"Order by SKU","商品番号順"
"The SKU was not found in the catalog.","商品番号はカタログに見つかりませんでした。"
"Availability: Out of stock.","在庫状況：在庫切れです。"
"We don't have as many of these as you want.","要求される数量を持っていません。"
"You can't add this many to your cart.","カートに多く商品を追加することができません。"
"You need to choose options for your item.","商品のためにオプションを選択しなければなりません。"
"We can't add the item to your cart.","ショッピングカートにアイテムを追加できません。"
"Please enter an actual number in the ""Qty"" field.","実際の数を ""Qty"" フィールドに入力してください。"
"This product is assigned to another website.","この商品は他のウェブサイトに割り当てられています。"
"You can add only enabled products.","有効な製品のみを追加できます。"
"You cannot upload this file.","このファイルはアップロードできません。"
"The file is empty.","ファイルは空です。"
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","商品SKUを入力していません。 SKUの製品を追加するには、<a href=""%1"">ここをクリック</a>してください。"
"You have not entered a product SKU.","商品番号を入力していません。"
"We can't add a product to cart by id ""%1"".","id ""%1"" でカートに商品を追加できません。"
"Something went wrong while reordering this product.","この商品の再注文中に何か問題が発生しました。"
"We can't find this wish list.","このお気に入りリストが見つかりません。"
"You added %1 product to your shopping cart.","あなたのショッピングカートに %1 の商品を追加しました。"
"You added %1 products to your shopping cart.","ショッピングカートに %1 の商品を追加しました。"
"%1 product requires your attention.","%1製品に注意が必要です。"
"%1 products require your attention.","%1製品に注意が必要です。"
"Yes, for Specified Customer Groups","はい。指定された顧客グループのためです。"
"Yes, for Everyone","はい、誰にでも"
"No","No"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.",".csv形式でファイルをアップロードしてください。"
"%1 item(s) need your attention.","注意が必要なアイテムが%1あります。"
"Apply Coupon Code","クーポンを適用"
"Remove Coupon Code","クーポンの使用をやめる"
"Remove","削除"
"The coupon code ""%1"" is not valid.","クーポンコード ""%1"" は有効ではありません。"
"Shopping Cart Items","ショッピングカート商品"
"Qty","個数"
"Subtotal","小計"
"Discount","値引き"
"Row Subtotal","行合計"
"Action","アクション"
"No ordered items","注文された商品はありません"
"Total %1 product(s)","合計 %1 商品"
"Subtotal:","小計:"
"Please select","選んで下さい"
"Move to Wish List","お気に入りに移動"
"No item specified.","アイテムが指定されていません。"
"Are you sure you want to remove this item?","このアイテムを削除してもよろしいですか？"
"SKU number","SKU番号"
"Upload File","ファイルをアップロード"
