"Manage Shopping Cart","Beheer winkelwagen"
"Create Order","Bestelling aanmaken"
"Back","Terug"
"Add Products","Voeg producten toe"
"Update Items and Quantities","Producten en aantallen bijwerken"
"Are you sure you want to clear your cart?","Weet je zeker dat je de winkelwagen wilt legen?"
"Clear my shopping cart","Winkelwagen leegmaken"
"Add selections to my cart","Selectie toevoegen aan winkelwagen"
"Cancel","Annuleer"
"Shopping Cart for %1 in %2","Winkelwagen voor %1 in %2"
"Select products you want to buy","Selecteer het product dat je wilt kopen"
"Product","Product"
"Price","prijs"
"Quantity","Aantal"
"Products in the Comparison List (%1)","Producten in de Vergelijkingslijst (%1)"
"Last ordered items (%1)","Laatst bestelde producten (%1)"
"Products","Producten"
"ID","ID"
"SKU","Art.nr."
"Recently Compared Products (%1)","Recent vergeleken producten (%1)"
"Recently Viewed Products (%1)","Recent bekeken producten (%1)"
"Add to Shopping Cart by SKU","Toevoegen aan winkelwagen via art.nr."
"Add to Shopping Cart","Voeg toe aan winkelwagen"
"Wish List (%1)","Verlanglijst (%1)"
"Apply","Toepassen"
"Configure","Configureren"
"Add to Order by SKU","Toevoegen aan bestelling via art.nr."
"Add to Order","Voeg toe aan bestelling"
"Add Products to Order","Voeg producten toe aan bestelling"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(en) vereisen aandacht.</span>"
"Remove All","Alles verwijderen"
"Only %1%2%3 left in stock","Slechts %1%2%3 op voorraad"
"You can buy up to %1 of these per purchase.","Je kan ten hoogste %1 van dit product per aankoop."
"You must buy at least %1 of these per purchase.","Je moet ten minste %1 van dit product aanschaffen per aankoop."
"Specify the product's options.","Geef de productopties aan."
"Alert me when this item is available.","Waarschuw me wanneer dit product beschikbaar is."
"We can't find this customer.","Klant niet gevonden."
"Shopping cart management is disabled for this customer.","Winkelwagenbeheer uitgeschakeld voor deze klant."
"We can't find this store.","Winkel niet gevonden."
"Customers","Klanten"
"Shopping Cart","Winkelwagen"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Je hebt geen toegang hier toe."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"You cannot configure a product.","Je kan het product niet aanpassen."
"You removed the items.","Je hebt de producten verwijderd."
"You removed the item.","Je hebt het product verwijderd."
"You added %1 to your shopping cart.","Je hebt %1 aan je winkelwagen toegevoegd."
"You cannot add a product.","Je kan geen product toevoegen."
"Order by SKU","Bestel via art.nr."
"The SKU was not found in the catalog.","Het product is niet gevonden in de catalogus."
"Availability: Out of stock.","Beschikbaarheid: niet op voorraad."
"We don't have as many of these as you want.","De voorraad is kleiner dan het aantal gevraagd."
"You can't add this many to your cart.","Het is niet mogelijk deze hoeveelheid aan de winkelwagen toe te voegen."
"You need to choose options for your item.","Er zijn verplichte optie keuzes voor dit product."
"We can't add the item to your cart.","We kunnen het product niet toevoegen aan je Winkelwagen."
"Please enter an actual number in the ""Qty"" field.","Vul een getal in bij het Aantal veld."
"This product is assigned to another website.","Dit product is aan een andere website toegewezen."
"You can add only enabled products.","Alleen actieve producten kunnen worden toegevoegd."
"You cannot upload this file.","Dit bestand kan niet worden geüpload."
"The file is empty.","Het bestand is leeg."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Er is geen Artikelnummer ingevuld. <a href=""%1"">Klik hier</a> om producten via Art.nr. toe te voegen."
"You have not entered a product SKU.","Er is geen artikelnummer ingevuld."
"We can't add a product to cart by id ""%1"".","Er kan geen product met id ""%1"" aan de winkelwagen worden toegevoegd."
"Something went wrong while reordering this product.","Er is een fout opgetreden tijdens het herbestellen van dit product."
"We can't find this wish list.","Deze verlanglijst kan niet gevonden worden."
"You added %1 product to your shopping cart.","Je hebt %1 product aan je winkelwagen toegevoegd."
"You added %1 products to your shopping cart.","Je hebt %1 producten aan je winkelwagen toegevoegd."
"%1 product requires your attention.","%1 product vereist je aandacht."
"%1 products require your attention.","%1 producten vereisen je aandacht."
"Yes, for Specified Customer Groups","Ja, voor opgegeven klantengroepen"
"Yes, for Everyone","Ja, voor iedereen"
"No","Nee"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Upload het bestand in .csv formaat."
"%1 item(s) need your attention.","%1 producten(en) vereisen je aandacht."
"Apply Coupon Code","Pas kortingscode toe"
"Remove Coupon Code","Verwijder kortingscode"
"Remove","Verwijder"
"The coupon code ""%1"" is not valid.","Kortingscode ""%1"" is niet geldig."
"Shopping Cart Items","Producten in winkelwagen"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Discount","Korting"
"Row Subtotal","Subtotaal rij"
"Action","Actie"
"No ordered items","Geen bestelde artikelen"
"Total %1 product(s)","Totaal %1 product(en)"
"Subtotal:","Subtotaal:"
"Please select","Selecteer"
"Move to Wish List","Naar verlanglijst verplaatsen"
"No item specified.","Geen artikel gespecificeerd."
"Are you sure you want to remove this item?","Weet je zeker dat je dit product wilt wissen?"
"SKU number","Art.nr."
"Upload File","Bestand uploaden"
"Your csv file must include ""sku"" and ""qty"" columns.","Het csv-bestand moet ""sku"" en ""qty"" kolommen bevatten."
"Reset","Resetten"
"SKU: ","Art.nr:"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Nog <span id=""%1_max_allowed"">%2</span> op voorraad"
"Item","Product"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"What's this?","Wat is dit?"
"Incl. Tax","Incl. BTW"
"Excl. Tax","Excl. BTW"
"Edit item parameters","Wijzig product-parameters"
"Edit","Bewerken"
"Remove item","Verwijder dit artikel"
"Products Requiring Attention","Producten die aandacht behoeven"
"Add to Cart","In Winkelwagen"
"Sku","Art.nr."
"File","Bestand"
"File extensions allowed: .csv","Toegestande extensie: .csv"
"Add Row","Rij Toevoegen"
"Remove Row","Rij verwijderen"
"Add Products By SKU","Voeg producten toe via SKU"
"Shopping Cart Management","Winkelwagenbeheer"
"View Shopping Cart","Bekijk winkelwagen"
"View and modify Shopping Cart","Bekijk en wijzig winkelwagen"
"Order by SKU Settings","Bestel per Art.nr. Instellingen"
"Enable Order by SKU on My Account in Storefront","Bestel per Art.nr. inschakelen Account in winkelaanzicht"
"Customer Groups","Klantengroepen"
"Apply Coupon","Pas kortingscode Toe"
"Order by SKU Description","Bestel via SKU Omschrijving"
"Display a Link to Loading a Spreadsheet","Geef een link weer om een Spreadsheet te laden"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definieert of een link naar Account &gt; Bestelling via art.nr, pagina wordt getoond op het widget"
"Link Text","Link tekst"
"The text of the link to the My Account &gt; Order by SKU page","De tekst van de link naar de Account &gt; Bestelling via art.nr. pagina"
"Load a list of SKUs","Laad een lijst met SKU's"
"Order by SKU Template","Bestel via SKU Template"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","Deze klant kan niet worden gevonden. Controleer de klant en probeer het nogmaals."
"This store couldn't be found. Verify the store and try again.","Deze winkel kon niet worden gevonden. Controleer de winkel en probeer het opnieuw."
"An error occurred. For details, see the error log.","Er is een fout opgetreden. Voor details, raadpleeg het foutenlogboek."
"Orders can only be completed in an active store. Verify the store and try again.","Bestellingen kunnen alleen worden afgerond in een actieve winkel. Controleer de winkel en probeer opnieuw."
"The ordered item needs to be loaded. Load the item and try again.","Het bestelde item moet geladen worden. Laad het item en probeer het opnieuw."
"The quote item ID needs to be received. Set the ID and try again.","Het offerte item ID moet worden ontvangen. Stel het ID in en probeer het opnieuw."
"The quote item needs to be loaded. Load the item and try again.","Het offerte item moet geladen worden. Laad het item en probeer het opnieuw."
"The wish list item ID needs to be received. Set the ID and try again.","Het verlanglijst item ID moet worden ontvangen. Stel het ID in en probeer het opnieuw."
"The wish list item needs to be loaded. Load the item and try again.","Het verlanglijst item moet worden geladen. Laad het item en probeer het opnieuw."
