"Manage Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ನಿರ್ವಹಿಸಿ"
"Create Order","ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರಚಿಸಿ"
"Back","ಹಿಂದೆ"
"Add Products","ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Update Items and Quantities","ವಸ್ತುಗಳನ್ನು ಮತ್ತು ಪರಿಮಾಣವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Are you sure you want to clear your cart?","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಲು ಬಯಸುವಿರಾ?"
"Clear my shopping cart","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"Add selections to my cart","ಆಯ್ಕೆಗಳನ್ನು ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Shopping Cart for %1 in %2","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗಾಗಿ %2 ರಲ್ಲಿ %1"
"Select products you want to buy","ನೀವು ಖರೀದಿಸಲು ಬಯಸುವ ಉತ್ಪನ್ನಗಳನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ"
"Product","ಉತ್ಪನ್ನ"
"Price","ದರ"
"Quantity","ಪರಿಮಾಣ"
"Products in the Comparison List (%1)","ಹೋಲಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿನ ಉತ್ಪನ್ನಗಳು (%1)"
"Last ordered items (%1)","ಕೊನೆಯದಾಗಿ ವ್ಯಾಪಾರಾದೇಶಿಸಿದ ವಸ್ತುಗಳು (%1)"
"Products","ಉತ್ಪನ್ನಗಳು"
"ID","ID"
"SKU","SKU"
"Recently Compared Products (%1)","ಇತ್ತೀಚೆಗೆ ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳು (%1)"
"Recently Viewed Products (%1)","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳು (%1)"
"Add to Shopping Cart by SKU","SKU ನಂತೆ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
