"Manage Shopping Cart","ഷോപ്പിംഗ് കാർട്ട് നിയന്ത്രിക്കുക"
"Create Order","ഓർഡർ സൃഷ്ടിക്കുക"
"Back","പിന്നിലേക്കു"
"Add Products","ഉൽപ്പന്നങ്ങൾ ചേർക്കുക"
"Update Items and Quantities","ഇനങ്ങളും അളവുകളും അപ്‌ഡേറ്റുചെയ്യുക"
"Are you sure you want to clear your cart?","നിങ്ങളുടെ കാർട്ട് മായ്‌ക്കണമെന്ന് നിങ്ങൾക്ക് ഉറപ്പാണോ?"
"Clear my shopping cart","എന്റെ ഷോപ്പിംഗ് കാർട്ട് മായ്‌ക്കുക"
"Add selections to my cart","എന്റെ കാർട്ടിലേക്ക് തിരഞ്ഞെടുക്കലുകൾ ചേർക്കുക"
"Cancel","റദ്ദാക്കുക"
"Shopping Cart for %1 in %2","%2 ൽ %1 നുള്ള ഷോപ്പിംഗ് കാർട്ട്"
"Select products you want to buy","നിങ്ങൾ വാങ്ങാൻ ആഗ്രഹിക്കുന്ന ഉൽപ്പന്നങ്ങൾ തിരഞ്ഞെടുക്കുക"
"Product","ഉൽപ്പന്നം"
"Price","വില"
"Quantity","അളവ്"
"Products in the Comparison List (%1)","താരതമ്യ പട്ടികയിലെ ഉൽപ്പന്നങ്ങൾ (%1)"
"Last ordered items (%1)","അവസാനം ഓർ‌ഡർ‌ ചെയ്‌ത ഇനങ്ങൾ‌ (%1)"
"Products","ഉൽപ്പന്നങ്ങൾ"
"ID","ഐഡി"
"SKU","SKU"
"Recently Compared Products (%1)","അടുത്തിടെ താരതമ്യപ്പെടുത്തിയ ഉൽപ്പന്നങ്ങൾ (%1)"
"Recently Viewed Products (%1)","അടുത്തിടെ കണ്ട ഉൽപ്പന്നങ്ങൾ (%1)"
"Add to Shopping Cart by SKU","Add to Shopping Cart by SKU"
"Add to Shopping Cart","ഷോപ്പിംഗ് കാർട്ടിലേക്ക് ചേർക്കുക"
"Wish List (%1)","Wish List (%1)"
"Apply","പ്രയോഗിക്കുക"
"Configure","കോൺഫിഗർ ചെയ്യുക"
"Add to Order by SKU","Add to Order by SKU"
"Add to Order","ഓർഡറിലേക്ക് ചേർക്കുക"
