"Manage Shopping Cart","Administrer indkøbskurv"
"Create Order","Opret ordre"
"Back","Tilbage"
"Add Products","Tilføj produkter"
"Update Items and Quantities","Opdater varer og antal"
"Are you sure you want to clear your cart?","Er du sikker på du vil tømme din kurv?"
"Clear my shopping cart","Tøm min kurv"
"Add selections to my cart","Tilføj til min kurv"
"Cancel","Annuller"
"Shopping Cart for %1 in %2","Indkøbskurv for %1 i %2"
"Select products you want to buy","Vælg produkter du ønsker at købe"
"Product","Produkt"
"Price","Pris"
"Quantity","Antal"
"Products in the Comparison List (%1)","Produkter på sammenlignings listen (%1)"
"Last ordered items (%1)","Sidste bestilte varer (%1)"
"Products","Produkter"
"ID","ID"
"SKU","Varenummer"
"Recently Compared Products (%1)","Nyligt sammenlignede produkter (%1)"
"Recently Viewed Products (%1)","Nyligt viste produkter (%1)"
"Add to Shopping Cart by SKU","Tilføj til indkøbskurv ved SKU"
"Add to Shopping Cart","Tilføj til indkøbskurv"
"Wish List (%1)","Ønskeliste (%1)"
"Apply","Anvend"
"Configure","Konfigurer"
"Add to Order by SKU","Føj til ordren med SKU"
"Add to Order","Tilføj til ordre"
"Add Products to Order","Tilføj produkter til ordre"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(er) kræver opmærksomhed.</span>"
"Remove All","Fjern alle"
"Only %1%2%3 left in stock","Kun %1%2%3 tilbage på lager"
"You can buy up to %1 of these per purchase.","Du kan købe til %1 af disse pr. køb."
"You must buy at least %1 of these per purchase.","Du skal købe mindst %1 af disse pr. køb."
"Specify the product's options.","Angiv produktets muligheder."
"Alert me when this item is available.","Giv mig besked, når varen er tilgængelig."
"We can't find this customer.","Vi kan ikke finde denne kunde."
"Shopping cart management is disabled for this customer.","Shopping cart management er deaktiveret for denne kunde."
"We can't find this store.","Vi kan ikke finde denne butik."
"Customers","Kunder"
"Shopping Cart","Indkøbskurv"
"Sorry, something went wrong. You can find out more in the error log.","Desværre, gik noget galt. Du kan finde flere oplysninger i fejlloggen."
"You do not have access to this.","Du har ikke adgang til dette."
"Ordered item id is not received.","Bestilte vare-id ikke er modtaget."
"Ordered item is not loaded.","Bestilte vare ikke er indlæst."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","Ønskeliste id'et er ikke modtaget."
"The wish list item is not loaded.","Ønskeliste er ikke indlæst."
