"Grouped Products","Csoportosított termékek"
"Please specify the quantity of product(s).","Kérjük, adja meg a termék(ek) mennyiségét."
"Cannot process the item.","Nem lehet feldolgozni az elemet."
"Add Products to Group","Termékek hozzáadása a csoporthoz"
"Cancel","Mégse"
"Add Selected Products","Kijelölt termékek hozzáadása"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A csoportosított termék több önálló termék összevonásával jön létre. Tartalmazhatja egy termék több variációját, vagy különböző termékeket valamilyen szempont szerint csoportosítva, mint például szezon, vagy téma. Minden egyes termék megvásárolható külön-külön, vagy a csoport részeként is."
"Remove","Eltávolítás"
"ID","Azonosító"
"Thumbnail","Bélyegkép"
"Name","Név"
"Attribute Set","Jellemző halmaz"
"Status","Állapot"
"SKU","Cikkszám"
"Price","Ár"
"Default Quantity","Alapértelmezett mennyiség"
"Actions","Műveletek"
"Associated Products","Hozzárendelt termékek"
"Availability:","Elérhetőség:"
"Out of stock","Nincs raktáron"
"Product Name","Terméknév"
"Qty","Mennyiség"
"No options of this product are available.","Ehhez a termékhez nincs lehetőség."
"There are no grouped products.","Nincsenek csoportosított termékek."
"Default Qty","Alapértelmezett mennyiség"
"Starting at","Kezdés ekkor:"
"Availability","Elérhetőség"
"In stock","Raktáron"
"Grouped product items","Csoportosított termék tételek"
"Grouped Product Image","Csoportosított termék kép"
"Select...","Válasszon..."
"Type","Típus"
"Quantity","Mennyiség"
"AttributeSetText","Jellemző halmaz szöveg"
"StatusText","Állapotszöveg"
"Position","Position"
