"Grouped Products","Сгруппированные продукты"
"Please specify the quantity of product(s).","Пожалуйста, укажите кол-во продукта(ов)."
"Cannot process the item.","Не удается обработать элемент."
"Add Products to Group","Добавить товары в Группу"
"Cancel","Отмена"
"Add Selected Products","Добавить Выбранные Продукты"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"Remove","Удалить"
"ID","Идентификатор"
"Thumbnail","Мини-изображение"
"Name","Название"
"Attribute Set","Набор атрибутов"
"Status","Статус"
"SKU","Артикул"
"Price","Цена"
"Default Quantity","Количество по умолчанию"
"Actions","Действия"
"Associated Products","Связанные товары"
"Availability:","Наличие:"
"Out of stock","Нет в наличии"
"Product Name","Название товара"
"Qty","Кол-во"
"No options of this product are available.","Нет доступных опций для этого продукта."
"There are no grouped products.","Больше не существует сгруппированных товаров."
"Default Qty","Кол-во по умолчанию"
"Starting at","Доступно с"
"Availability","Наличие"
"In stock","В наличии"
"Grouped product items","Grouped product items"
"Grouped Product Image","Grouped Product Image"
"Select...","Выберите..."
"Type","Тип"
"Quantity","Количество"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Position","Position"
