"Grouped Products","Групирани продукти"
"Please specify the quantity of product(s).","Моля, посочете количеството на продукта."
"Cannot process the item.","Не може да обработи този елемент."
"Add Products to Group","Добавяне на продукти към група"
"Cancel","Отказ"
"Add Selected Products","Добави избраните продукти"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Групиран продукт се състои от множество, самостоятелни продукти, които са представени като група. Можете да предлагат разновидности на един и същ продукт или да ги групирате по сезон или тема за създаване на координирана набор. Всеки продукт могат да бъдат закупени отделно, или като част от групата."
"Remove","Премахване"
"ID","ИД"
"Thumbnail","Миниатюра"
"Name","Име"
"Attribute Set","Групи атрибути"
"Status","Статус"
"SKU","Кат. номер"
"Price","Цена"
"Default Quantity","Количество по подразбиране"
"Actions","Действия"
"Associated Products","Свързани с тях продукти"
"Availability:","Наличност:"
"Out of stock","Изчерпано количество"
"Product Name","Име на продукт"
"Qty","Кол-во"
"No options of this product are available.","Няма налични опции за този продукт."
"There are no grouped products.","Няма групирани продукти."
"Default Qty","По подразбиране количество"
"Starting at","Започвайки от"
"Availability","Наличност"
"In stock","На склад"
"Grouped product items","Групирани продуктови елементи"
"Grouped Product Image","Групирани продуктови изображения"
"Select...","Изберете..."
"Type","Тип"
"Quantity","Количество: "
"AttributeSetText","ГрупаАтрибутиТекст"
"StatusText","ТекстСтатус"
"Position","Позиция"
