"Grouped Products","Grupperte produkter"
"Please specify the quantity of product(s).","Vennligst spesifiser antall produkt(er)."
"Cannot process the item.","Kan ikke behandle elementet."
"Add Products to Group","Legg til produkter i gruppe"
"Cancel","Avbryt"
"Add Selected Products","Legg til merkede produkter"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"Remove","Fjern"
"ID","ID"
"Thumbnail","Miniatyrbilde"
"Name","Navn"
"Attribute Set","Attributtsett"
"Status","Status"
"SKU","Varenummer"
"Price","Pris"
"Default Quantity","Standard antall"
"Actions","Handlinger"
"Associated Products","Associated Products"
"Availability:","Tilgjengelighet:"
"Out of stock","Ikke på lager"
"Product Name","Produktnavn"
"Qty","Antall"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"There are no grouped products.","There are no grouped products."
"Default Qty","Default Qty"
"Starting at","Starting at"
"Availability","Tilgjengelighet"
"In stock","På lager"
"Grouped product items","Grouped product items"
"Grouped Product Image","Grouped Product Image"
"Select...","Velg..."
"Type","Type"
"Quantity","Antall"
"AttributeSetText","AttributeSettTekst"
"StatusText","StatusTekst"
"Position","Position"
