"Grouped Products","Grupeeritud tooted"
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Cannot process the item.","Seda ei saa töödelda."
"Add Products to Group","Add Products to Group"
"Cancel","Tühista"
"Add Selected Products","Lisage valitud tooted"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group."
"Remove","Eemalda"
"ID","ID"
"Thumbnail","Pisipilt"
"Name","Nimi"
"Attribute Set","Atribuudikogum"
"Status","Staatus"
"SKU","Laokood"
"Price","Hind"
"Default Quantity","Vaikekogus"
"Actions","Toimingud"
"Associated Products","Associated Products"
"Availability:","Saadavus:"
"Out of stock","Laost otsas"
"Product Name","Toote nimi"
"Qty","Kogus"
"No options of this product are available.","No options of this product are available."
"There are no grouped products.","There are no grouped products."
"Default Qty","Default Qty"
"Starting at","Starting at"
"Availability","Saadavus"
"In stock","Laos"
"Grouped product items","Grouped product items"
"Grouped Product Image","Grouped Product Image"
"Select...","Vali..."
"Type","Tüüp"
"Quantity","Kogus"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Position","Position"
