"Grouped Products","Produk yang dikelompokkan"
"Please specify the quantity of product(s).","Silakan tentukan jumlah produk(s)."
"Cannot process the item.","Tidak dapat memproses item."
"Add Products to Group","Tambahkan Produk ke Grup"
"Cancel","Batal"
"Add Selected Products","Tambahkan Produk yang Dipilih"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Produk berkelompok terdiri dari beberapa produk mandiri yang disajikan sebagai satu kelompok. Anda dapat menawarkan variasi produk tunggal, atau mengelompokkannya menurut musim atau tema untuk membuat kumpulan terkoordinasi. Setiap produk dapat dibeli secara terpisah, atau sebagai bagian dari kelompok."
"Remove","Hapus"
"ID","Id"
"Thumbnail","Gambar Kecil"
"Name","Nama"
"Attribute Set","Set Atribut"
"Status","Subjek"
"SKU","SKU"
"Price","Harga"
"Default Quantity","Jumlah Default"
"Actions","Tindakan"
"Associated Products","Produk Terkait"
"Availability:","Tersedianya:"
"Out of stock","Habis terjual"
"Product Name","Nama Produk"
"Qty","Jml"
"No options of this product are available.","Tidak ada pilihan produk ini yang tersedia."
"There are no grouped products.","Tidak ada produk yang dikelompokkan."
"Default Qty","Default Qty"
"Starting at","Mulai dari"
"Availability","Tersedianya"
"In stock","Tersedia"
"Grouped product items","Item produk yang dikelompokkan"
"Grouped Product Image","Gambar Produk yang Dikelompokkan"
"Select...","Memilih..."
"Type","Jenis"
"Quantity","Kuantitas"
"AttributeSetText","AtributSetText"
"StatusText","Status Tek"
"Position","Position"
